Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Média Móvel E [200]_x,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]_y
30/12/2020 17:00,31.37,31.23,31.53,31.33,30.26,16.28,16.16,16.42,16.54,17.08
30/12/2020 16:00,31.39,31.37,31.56,31.33,30.25,16.47,16.28,16.45,16.55,17.09
30/12/2020 15:00,31.55,31.39,31.57,31.33,30.24,16.33,16.47,16.47,16.56,17.1
30/12/2020 14:00,31.42,31.55,31.59,31.33,30.22,16.35,16.34,16.47,16.56,17.11
30/12/2020 13:00,31.55,31.42,31.6,31.32,30.21,16.48,16.35,16.48,16.57,17.12
30/12/2020 12:00,31.63,31.55,31.61,31.32,30.2,16.56,16.48,16.49,16.58,17.12
30/12/2020 11:00,31.7,31.63,31.62,31.31,30.19,16.6,16.55,16.49,16.58,17.13
30/12/2020 10:00,31.79,31.7,31.62,31.3,30.17,16.61,16.6,16.49,16.58,17.14
29/12/2020 17:00,31.63,31.69,31.61,31.29,30.16,16.7,16.58,16.48,16.58,17.14
29/12/2020 16:00,31.71,31.64,31.6,31.28,30.14,16.7,16.7,16.47,16.58,17.15
29/12/2020 15:00,31.6,31.72,31.6,31.27,30.13,16.61,16.7,16.44,16.58,17.15
29/12/2020 14:00,31.69,31.6,31.59,31.25,30.11,16.62,16.6,16.42,16.57,17.16
29/12/2020 13:00,31.66,31.7,31.59,31.24,30.09,16.73,16.62,16.4,16.57,17.16
29/12/2020 12:00,31.67,31.66,31.57,31.23,30.08,16.52,16.73,16.38,16.57,17.17
29/12/2020 11:00,31.88,31.66,31.56,31.22,30.06,16.71,16.52,16.34,16.57,17.17
29/12/2020 10:00,31.86,31.86,31.56,31.2,30.05,16.64,16.71,16.33,16.57,17.18
28/12/2020 17:00,31.76,31.76,31.52,31.18,30.03,16.53,16.59,16.29,16.56,17.18
28/12/2020 16:00,31.79,31.76,31.5,31.17,30.01,16.32,16.53,16.26,16.56,17.19
28/12/2020 15:00,31.76,31.79,31.48,31.15,29.99,16.22,16.31,16.23,16.56,17.19
28/12/2020 14:00,31.82,31.76,31.44,31.13,29.97,16.26,16.21,16.22,16.57,17.2
28/12/2020 13:00,31.69,31.82,31.41,31.11,29.96,16.05,16.25,16.22,16.58,17.21
28/12/2020 12:00,31.66,31.69,31.37,31.09,29.94,16.06,16.04,16.22,16.59,17.22
28/12/2020 11:00,31.82,31.64,31.34,31.07,29.92,16.21,16.06,16.24,16.61,17.23
28/12/2020 10:00,31.81,31.82,31.31,31.05,29.9,16.4,16.2,16.26,16.63,17.25
23/12/2020 17:00,31.55,31.53,31.26,31.03,29.88,16.08,16.13,16.26,16.64,17.26
23/12/2020 16:00,31.45,31.55,31.23,31.01,29.87,16.11,16.09,16.27,16.66,17.27
23/12/2020 15:00,31.58,31.45,31.2,30.99,29.85,16.24,16.11,16.29,16.67,17.28
23/12/2020 14:00,31.51,31.58,31.17,30.98,29.83,16.28,16.23,16.31,16.69,17.29
23/12/2020 13:00,31.48,31.51,31.13,30.96,29.82,16.35,16.27,16.32,16.7,17.3
23/12/2020 12:00,31.39,31.48,31.09,30.94,29.8,16.44,16.34,16.32,16.72,17.31
23/12/2020 11:00,31.19,31.39,31.06,30.93,29.78,16.14,16.44,16.32,16.73,17.32
23/12/2020 10:00,30.92,31.17,31.02,30.91,29.77,15.85,16.14,16.31,16.74,17.33
22/12/2020 17:00,30.84,30.85,31.01,30.91,29.75,15.94,15.94,16.33,16.76,17.34
22/12/2020 16:00,30.88,30.84,31.02,30.91,29.74,16.0,15.94,16.37,16.78,17.36
22/12/2020 15:00,31.04,30.87,31.04,30.91,29.73,16.04,16.0,16.41,16.81,17.37
22/12/2020 14:00,30.96,31.04,31.06,30.91,29.72,16.06,16.04,16.45,16.83,17.39
22/12/2020 13:00,31.12,30.97,31.06,30.91,29.71,16.19,16.05,16.49,16.86,17.4
22/12/2020 12:00,30.96,31.11,31.07,30.9,29.69,16.12,16.18,16.53,16.88,17.41
22/12/2020 11:00,31.08,30.96,31.07,30.9,29.68,16.23,16.12,16.57,16.9,17.43
22/12/2020 10:00,30.77,31.08,31.08,30.9,29.67,16.35,16.22,16.62,16.93,17.44
21/12/2020 17:00,31.0,30.7,31.08,30.89,29.65,16.46,16.15,16.65,16.95,17.45
21/12/2020 16:00,30.98,30.99,31.11,30.9,29.64,16.45,16.45,16.7,16.97,17.46
21/12/2020 15:00,30.73,30.98,31.12,30.89,29.63,16.32,16.45,16.73,16.99,17.47
21/12/2020 14:00,30.79,30.73,31.14,30.89,29.61,16.43,16.32,16.76,17.01,17.48
21/12/2020 13:00,30.85,30.79,31.18,30.9,29.6,16.44,16.43,16.8,17.03,17.5
21/12/2020 12:00,30.86,30.87,31.22,30.9,29.59,16.5,16.44,16.84,17.05,17.51
21/12/2020 11:00,31.05,30.87,31.25,30.9,29.58,16.44,16.5,16.88,17.06,17.52
21/12/2020 10:00,30.65,31.04,31.29,30.9,29.57,15.0,16.44,16.92,17.08,17.53
18/12/2020 17:00,31.47,31.26,31.32,30.9,29.55,16.93,16.82,16.97,17.1,17.54
18/12/2020 16:00,31.5,31.46,31.32,30.88,29.53,16.94,16.93,16.98,17.11,17.55
18/12/2020 15:00,31.51,31.52,31.31,30.87,29.51,16.92,16.93,16.98,17.12,17.55
18/12/2020 14:00,31.45,31.51,31.29,30.85,29.49,16.9,16.91,16.99,17.12,17.56
18/12/2020 13:00,31.5,31.47,31.26,30.83,29.47,16.97,16.91,17.0,17.13,17.56
18/12/2020 12:00,31.45,31.51,31.24,30.81,29.45,17.01,16.96,17.01,17.13,17.57
18/12/2020 11:00,31.18,31.44,31.22,30.78,29.43,16.88,17.0,17.01,17.14,17.58
18/12/2020 10:00,31.32,31.18,31.19,30.76,29.41,16.93,16.88,17.01,17.14,17.58
17/12/2020 17:00,31.23,31.31,31.2,30.75,29.39,16.92,16.97,17.03,17.15,17.59
17/12/2020 16:00,31.22,31.23,31.18,30.73,29.38,16.94,16.92,17.03,17.16,17.6
17/12/2020 15:00,31.43,31.22,31.18,30.72,29.36,16.99,16.94,17.04,17.17,17.6
17/12/2020 14:00,31.53,31.42,31.18,30.7,29.34,17.06,17.0,17.05,17.17,17.61
17/12/2020 13:00,31.65,31.53,31.15,30.68,29.32,17.1,17.05,17.06,17.18,17.62
17/12/2020 12:00,31.61,31.66,31.11,30.66,29.29,17.12,17.1,17.06,17.18,17.62
17/12/2020 11:00,31.46,31.6,31.06,30.62,29.27,17.12,17.11,17.06,17.18,17.63
17/12/2020 10:00,31.48,31.46,31.0,30.59,29.25,17.11,17.13,17.05,17.19,17.63
16/12/2020 17:00,31.56,31.35,30.96,30.57,29.23,17.14,17.1,17.04,17.19,17.64
16/12/2020 16:00,31.32,31.56,30.92,30.54,29.2,17.1,17.14,17.04,17.19,17.64
16/12/2020 15:00,30.9,31.33,30.85,30.51,29.18,17.0,17.11,17.03,17.19,17.65
16/12/2020 14:00,30.65,30.92,30.81,30.49,29.16,16.91,17.0,17.02,17.2,17.65
16/12/2020 13:00,30.89,30.65,30.8,30.47,29.14,16.94,16.91,17.02,17.2,17.66
16/12/2020 12:00,30.83,30.9,30.81,30.47,29.13,17.06,16.95,17.03,17.21,17.67
16/12/2020 11:00,30.9,30.83,30.8,30.46,29.11,17.09,17.06,17.04,17.22,17.67
16/12/2020 10:00,30.84,30.9,30.8,30.44,29.09,17.05,17.08,17.04,17.22,17.68
15/12/2020 17:00,30.86,30.76,30.79,30.43,29.07,17.09,17.02,17.03,17.23,17.69
15/12/2020 16:00,30.9,30.86,30.79,30.42,29.06,17.12,17.08,17.03,17.23,17.69
15/12/2020 15:00,30.92,30.9,30.78,30.41,29.04,17.21,17.13,17.03,17.24,17.7
15/12/2020 14:00,30.75,30.9,30.77,30.39,29.02,17.07,17.2,17.02,17.24,17.71
15/12/2020 13:00,30.82,30.76,30.76,30.37,29.0,17.07,17.08,17.0,17.24,17.71
15/12/2020 12:00,30.62,30.8,30.76,30.36,28.98,17.1,17.07,16.99,17.25,17.72
15/12/2020 11:00,30.7,30.62,30.75,30.35,28.96,16.99,17.1,16.98,17.25,17.72
15/12/2020 10:00,30.58,30.68,30.77,30.34,28.95,17.0,17.0,16.97,17.26,17.73
14/12/2020 17:00,30.69,30.49,30.78,30.33,28.93,16.95,16.83,16.97,17.27,17.74
14/12/2020 16:00,30.75,30.71,30.8,30.33,28.91,16.99,16.96,16.98,17.28,17.75
14/12/2020 15:00,30.69,30.74,30.81,30.31,28.9,17.01,16.99,16.99,17.29,17.75
14/12/2020 14:00,30.98,30.69,30.82,30.3,28.88,16.92,17.01,16.99,17.3,17.76
14/12/2020 13:00,30.72,30.99,30.83,30.29,28.86,16.79,16.92,16.98,17.31,17.77
14/12/2020 12:00,30.99,30.73,30.82,30.27,28.84,16.81,16.79,16.99,17.32,17.78
14/12/2020 11:00,31.09,30.99,30.83,30.25,28.82,16.88,16.81,17.01,17.34,17.79
14/12/2020 10:00,31.07,31.1,30.81,30.23,28.8,16.88,16.88,17.03,17.35,17.8
11/12/2020 17:00,31.05,30.9,30.78,30.2,28.77,16.88,16.82,17.05,17.37,17.81
11/12/2020 16:00,30.96,31.06,30.77,30.18,28.75,16.89,16.88,17.07,17.38,17.82
11/12/2020 15:00,31.0,30.97,30.74,30.15,28.73,16.89,16.9,17.09,17.4,17.83
11/12/2020 14:00,30.86,31.0,30.72,30.13,28.71,16.88,16.89,17.11,17.41,17.84
11/12/2020 13:00,30.94,30.87,30.69,30.1,28.68,16.94,16.88,17.13,17.43,17.84
11/12/2020 12:00,30.8,30.93,30.67,30.08,28.66,16.99,16.93,17.15,17.45,17.85
11/12/2020 11:00,30.95,30.82,30.64,30.05,28.64,16.94,16.98,17.17,17.46,17.86
11/12/2020 10:00,30.77,30.95,30.62,30.03,28.62,16.9,16.93,17.19,17.48,17.87
10/12/2020 17:00,31.14,31.09,30.59,30.0,28.59,16.96,17.02,17.22,17.49,17.88
10/12/2020 16:00,31.21,31.14,30.54,29.97,28.57,17.03,16.96,17.24,17.51,17.89
10/12/2020 15:00,31.06,31.21,30.48,29.93,28.54,17.04,17.03,17.27,17.53,17.9
10/12/2020 14:00,30.94,31.05,30.41,29.89,28.52,16.94,17.04,17.29,17.54,17.91
10/12/2020 13:00,30.88,30.94,30.34,29.85,28.49,17.1,16.93,17.32,17.56,17.92
10/12/2020 12:00,30.81,30.88,30.28,29.82,28.47,17.02,17.1,17.36,17.58,17.93
10/12/2020 11:00,30.78,30.81,30.22,29.79,28.44,16.85,17.02,17.38,17.59,17.94
10/12/2020 10:00,30.32,30.79,30.17,29.76,28.42,17.3,16.84,17.42,17.61,17.95
09/12/2020 17:00,30.22,30.1,30.1,29.73,28.39,17.24,17.21,17.48,17.63,17.96
09/12/2020 16:00,30.02,30.23,30.1,29.71,28.38,17.22,17.25,17.5,17.65,17.96
09/12/2020 15:00,30.13,30.03,30.09,29.7,28.36,17.27,17.22,17.53,17.66,17.97
09/12/2020 14:00,30.18,30.13,30.1,29.69,28.34,17.42,17.27,17.56,17.67,17.98
09/12/2020 13:00,30.12,30.2,30.1,29.67,28.32,17.35,17.41,17.59,17.68,17.99
09/12/2020 12:00,30.25,30.12,30.09,29.66,28.3,17.36,17.35,17.61,17.69,17.99
09/12/2020 11:00,30.21,30.25,30.08,29.64,28.29,17.52,17.37,17.63,17.7,18.0
09/12/2020 10:00,29.95,30.21,30.07,29.63,28.27,17.75,17.52,17.66,17.71,18.0
08/12/2020 17:00,30.0,29.92,30.05,29.61,28.25,17.76,17.7,17.67,17.72,18.01
08/12/2020 16:00,29.95,30.0,30.06,29.6,28.23,17.77,17.75,17.67,17.72,18.01
08/12/2020 15:00,29.81,29.93,30.07,29.59,28.21,17.56,17.77,17.66,17.72,18.01
08/12/2020 14:00,30.15,29.82,30.09,29.58,28.19,17.74,17.56,17.65,17.72,18.02
08/12/2020 13:00,30.37,30.15,30.11,29.57,28.18,17.82,17.74,17.66,17.72,18.02
08/12/2020 12:00,30.58,30.37,30.11,29.55,28.16,18.03,17.82,17.65,17.72,18.02
08/12/2020 11:00,30.24,30.59,30.08,29.52,28.14,17.97,18.03,17.63,17.72,18.03
08/12/2020 10:00,30.0,30.25,30.03,29.49,28.11,17.41,17.97,17.59,17.71,18.03
