Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Média Móvel E [200]_x,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]_y
30/12/2020 17:00,5191.5,5193.5,5198.6,5183.58,5193.35,119250.38,119017.24,119101.84,117949.85,114317.29
30/12/2020 16:00,5180.0,5192.0,5199.11,5183.28,5193.35,119484.34,119242.08,119110.3,117917.0,114270.06
30/12/2020 15:00,5170.5,5180.0,5199.82,5183.01,5193.36,119511.59,119464.05,119097.12,117876.23,114220.09
30/12/2020 14:00,5178.5,5170.0,5201.8,5183.1,5193.5,119302.88,119531.87,119060.43,117827.38,114167.38
30/12/2020 13:00,5179.5,5178.5,5204.98,5183.51,5193.73,119545.77,119323.84,119013.29,117774.93,114113.47
30/12/2020 12:00,5210.5,5179.0,5207.63,5183.66,5193.89,119697.16,119537.69,118982.23,117727.27,114061.1
30/12/2020 11:00,5221.0,5210.0,5210.49,5183.8,5194.04,119792.72,119673.78,118926.68,117671.56,114006.06
30/12/2020 10:00,5194.0,5220.5,5210.54,5183.0,5193.88,119409.85,119817.47,118851.97,117609.96,113949.1
29/12/2020 17:00,5187.45,5209.49,5210.25,5180.3,5193.34,119401.71,119409.15,118755.42,117542.03,113890.12
29/12/2020 16:00,5198.97,5187.45,5210.33,5179.4,5193.18,119502.21,119381.84,118690.05,117484.59,113834.65
29/12/2020 15:00,5189.96,5197.97,5212.62,5179.15,5193.24,118993.37,119492.86,118620.87,117426.21,113778.9
29/12/2020 14:00,5174.94,5189.96,5214.08,5178.57,5193.19,119170.74,119004.05,118533.67,117362.62,113721.48
29/12/2020 13:00,5195.97,5173.93,5216.5,5178.22,5193.22,119185.43,119147.84,118486.64,117312.11,113668.38
29/12/2020 12:00,5211.49,5195.97,5220.75,5178.36,5193.42,118906.97,119193.32,118420.52,117255.63,113613.31
29/12/2020 11:00,5190.96,5210.99,5223.23,5177.81,5193.39,119596.56,118832.48,118343.24,117196.01,113557.23
29/12/2020 10:00,5209.99,5191.46,5224.46,5176.79,5193.22,119130.06,119598.01,118294.31,117145.66,113504.22
28/12/2020 17:00,5246.04,5253.05,5227.78,5173.1,5192.52,119089.87,119123.7,118163.94,117070.2,113442.97
28/12/2020 16:00,5263.56,5245.54,5225.25,5170.64,5191.91,119131.88,119074.65,118067.97,117007.01,113385.88
28/12/2020 15:00,5275.58,5264.56,5223.23,5168.34,5191.38,118920.69,119110.16,117967.3,116943.39,113328.71
28/12/2020 14:00,5313.13,5275.58,5219.09,5165.38,5190.64,119017.45,118936.26,117853.01,116876.72,113270.6
28/12/2020 13:00,5305.62,5313.13,5213.44,5161.98,5189.79,118402.98,119033.22,117744.69,116813.35,113213.66
28/12/2020 12:00,5265.57,5305.12,5203.47,5157.33,5188.55,118314.33,118423.43,117615.83,116745.05,113155.17
28/12/2020 11:00,5210.99,5265.57,5193.31,5152.79,5187.38,118601.86,118355.01,117535.07,116693.41,113102.22
28/12/2020 10:00,5189.96,5210.99,5186.08,5149.32,5186.59,117805.56,118644.86,117453.08,116642.28,113049.43
23/12/2020 17:00,5205.98,5211.49,5178.8,5143.7,5185.92,117800.49,117806.85,117333.9,116580.66,112993.2
23/12/2020 16:00,5210.99,5206.48,5175.53,5141.61,5185.67,117869.79,117801.78,117286.61,116542.93,112944.82
23/12/2020 15:00,5220.5,5211.49,5172.43,5139.62,5185.46,118165.2,117860.68,117235.09,116504.2,112896.01
23/12/2020 14:00,5215.49,5220.5,5168.53,5137.4,5185.2,118229.16,118160.81,117172.53,116462.46,112846.11
