Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Valor,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]
30/12/2020 17:00,28.4,28.34,28.23,27.95,26.78,31.37,31.23,31.53,31.33,30.26
30/12/2020 16:00,28.4,28.4,28.22,27.94,26.77,31.39,31.37,31.56,31.33,30.25
30/12/2020 15:00,28.36,28.4,28.2,27.93,26.75,31.55,31.39,31.57,31.33,30.24
30/12/2020 14:00,28.25,28.35,28.18,27.91,26.73,31.42,31.55,31.59,31.33,30.22
30/12/2020 13:00,28.32,28.25,28.16,27.9,26.72,31.55,31.42,31.6,31.32,30.21
30/12/2020 12:00,28.34,28.33,28.15,27.89,26.7,31.63,31.55,31.61,31.32,30.2
30/12/2020 11:00,28.22,28.33,28.14,27.88,26.69,31.7,31.63,31.62,31.31,30.19
30/12/2020 10:00,28.35,28.22,28.12,27.86,26.67,31.79,31.7,31.62,31.3,30.17
29/12/2020 17:00,28.08,28.27,28.11,27.85,26.65,31.63,31.69,31.61,31.29,30.16
29/12/2020 16:00,28.13,28.09,28.09,27.84,26.64,31.71,31.64,31.6,31.28,30.14
29/12/2020 15:00,28.06,28.13,28.09,27.83,26.62,31.6,31.72,31.6,31.27,30.13
29/12/2020 14:00,28.15,28.05,28.09,27.82,26.61,31.69,31.6,31.59,31.25,30.11
29/12/2020 13:00,28.22,28.15,28.09,27.81,26.59,31.66,31.7,31.59,31.24,30.09
29/12/2020 12:00,28.27,28.21,28.08,27.8,26.58,31.67,31.66,31.57,31.23,30.08
29/12/2020 11:00,28.31,28.27,28.07,27.79,26.56,31.88,31.66,31.56,31.22,30.06
29/12/2020 10:00,28.38,28.31,28.05,27.78,26.54,31.86,31.86,31.56,31.2,30.05
28/12/2020 17:00,28.28,28.18,28.02,27.76,26.53,31.76,31.76,31.52,31.18,30.03
28/12/2020 16:00,28.33,28.29,28.01,27.75,26.51,31.79,31.76,31.5,31.17,30.01
28/12/2020 15:00,28.31,28.33,27.98,27.73,26.49,31.76,31.79,31.48,31.15,29.99
28/12/2020 14:00,28.39,28.31,27.95,27.71,26.47,31.82,31.76,31.44,31.13,29.97
28/12/2020 13:00,28.32,28.39,27.91,27.69,26.45,31.69,31.82,31.41,31.11,29.96
28/12/2020 12:00,28.25,28.33,27.86,27.67,26.44,31.66,31.69,31.37,31.09,29.94
28/12/2020 11:00,28.27,28.26,27.82,27.65,26.42,31.82,31.64,31.34,31.07,29.92
28/12/2020 10:00,28.36,28.27,27.77,27.63,26.4,31.81,31.82,31.31,31.05,29.9
