Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Valor,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]
30/12/2020 17:00,28.4,28.34,28.23,27.95,26.78,2.18,2.2,2.18,2.19,2.15
30/12/2020 16:00,28.4,28.4,28.22,27.94,26.77,2.18,2.19,2.18,2.19,2.15
30/12/2020 15:00,28.36,28.4,28.2,27.93,26.75,2.17,2.19,2.18,2.19,2.15
30/12/2020 14:00,28.25,28.35,28.18,27.91,26.73,2.17,2.18,2.18,2.19,2.15
30/12/2020 13:00,28.32,28.25,28.16,27.9,26.72,2.18,2.17,2.18,2.2,2.15
30/12/2020 12:00,28.34,28.33,28.15,27.89,26.7,2.19,2.18,2.18,2.2,2.15
30/12/2020 11:00,28.22,28.33,28.14,27.88,26.69,2.19,2.19,2.18,2.2,2.15
30/12/2020 10:00,28.35,28.22,28.12,27.86,26.67,2.18,2.19,2.18,2.2,2.15
29/12/2020 17:00,28.08,28.27,28.11,27.85,26.65,2.18,2.18,2.18,2.2,2.14
29/12/2020 16:00,28.13,28.09,28.09,27.84,26.64,2.18,2.19,2.18,2.2,2.14
29/12/2020 15:00,28.06,28.13,28.09,27.83,26.62,2.18,2.19,2.18,2.2,2.14
29/12/2020 14:00,28.15,28.05,28.09,27.82,26.61,2.19,2.19,2.18,2.2,2.14
29/12/2020 13:00,28.22,28.15,28.09,27.81,26.59,2.19,2.18,2.18,2.2,2.14
29/12/2020 12:00,28.27,28.21,28.08,27.8,26.58,2.18,2.18,2.18,2.2,2.14
29/12/2020 11:00,28.31,28.27,28.07,27.79,26.56,2.25,2.18,2.17,2.2,2.14
29/12/2020 10:00,28.38,28.31,28.05,27.78,26.54,2.24,2.25,2.17,2.2,2.14
28/12/2020 17:00,28.28,28.18,28.02,27.76,26.53,2.19,2.22,2.17,2.2,2.14
28/12/2020 16:00,28.33,28.29,28.01,27.75,26.51,2.17,2.18,2.16,2.2,2.14
28/12/2020 15:00,28.31,28.33,27.98,27.73,26.49,2.17,2.17,2.16,2.2,2.14
28/12/2020 14:00,28.39,28.31,27.95,27.71,26.47,2.19,2.18,2.16,2.2,2.14
28/12/2020 13:00,28.32,28.39,27.91,27.69,26.45,2.18,2.18,2.16,2.2,2.14
28/12/2020 12:00,28.25,28.33,27.86,27.67,26.44,2.19,2.18,2.15,2.2,2.14
28/12/2020 11:00,28.27,28.26,27.82,27.65,26.42,2.16,2.19,2.15,2.2,2.14
28/12/2020 10:00,28.36,28.27,27.77,27.63,26.4,2.18,2.17,2.15,2.2,2.14
23/12/2020 17:00,27.98,27.95,27.72,27.61,26.38,2.16,2.16,2.15,2.2,2.14
23/12/2020 16:00,28.09,27.98,27.7,27.6,26.36,2.15,2.17,2.14,2.2,2.14
23/12/2020 15:00,28.08,28.08,27.67,27.59,26.35,2.14,2.15,2.14,2.2,2.14
23/12/2020 14:00,28.19,28.13,27.63,27.58,26.33,2.14,2.14,2.14,2.21,2.14
23/12/2020 13:00,28.03,28.19,27.58,27.56,26.31,2.12,2.14,2.14,2.21,2.14
23/12/2020 12:00,28.03,28.03,27.52,27.54,26.29,2.11,2.12,2.14,2.21,2.14
23/12/2020 11:00,27.4,28.03,27.47,27.52,26.28,2.11,2.11,2.14,2.21,2.14
23/12/2020 10:00,27.43,27.41,27.41,27.51,26.26,2.12,2.1,2.15,2.22,2.14
22/12/2020 17:00,27.29,27.28,27.41,27.51,26.25,2.13,2.11,2.15,2.22,2.14
22/12/2020 16:00,27.28,27.29,27.42,27.52,26.24,2.12,2.12,2.16,2.22,2.14
22/12/2020 15:00,27.19,27.28,27.44,27.53,26.22,2.12,2.13,2.16,2.23,2.14
22/12/2020 14:00,27.12,27.18,27.45,27.53,26.21,2.12,2.12,2.16,2.23,2.14
22/12/2020 13:00,27.17,27.14,27.48,27.54,26.2,2.13,2.13,2.17,2.23,2.14
22/12/2020 12:00,27.17,27.17,27.51,27.56,26.2,2.14,2.14,2.17,2.24,2.14
22/12/2020 11:00,27.36,27.17,27.55,27.57,26.19,2.14,2.13,2.17,2.24,2.14
22/12/2020 10:00,27.2,27.37,27.58,27.58,26.18,2.14,2.15,2.18,2.24,2.14
21/12/2020 17:00,27.36,27.02,27.61,27.59,26.16,2.13,2.11,2.18,2.24,2.14
21/12/2020 16:00,27.43,27.36,27.66,27.6,26.15,2.15,2.12,2.19,2.25,2.14
21/12/2020 15:00,27.02,27.42,27.7,27.61,26.14,2.13,2.15,2.19,2.25,2.14
21/12/2020 14:00,27.04,27.01,27.72,27.62,26.13,2.11,2.12,2.2,2.26,2.14
21/12/2020 13:00,27.09,27.04,27.79,27.64,26.12,2.11,2.12,2.2,2.26,2.14
21/12/2020 12:00,27.16,27.09,27.87,27.65,26.11,2.14,2.12,2.21,2.26,2.14
21/12/2020 11:00,27.16,27.16,27.95,27.67,26.1,2.14,2.14,2.22,2.27,2.14
21/12/2020 10:00,27.19,27.16,28.03,27.69,26.09,2.1,2.13,2.23,2.27,2.14
18/12/2020 17:00,28.24,28.1,28.11,27.7,26.08,2.19,2.19,2.24,2.28,2.14
18/12/2020 16:00,28.24,28.23,28.11,27.69,26.06,2.2,2.19,2.25,2.28,2.14
18/12/2020 15:00,28.21,28.25,28.1,27.67,26.04,2.21,2.2,2.25,2.28,2.14
18/12/2020 14:00,28.17,28.21,28.09,27.66,26.02,2.19,2.2,2.26,2.28,2.14
18/12/2020 13:00,28.15,28.17,28.08,27.64,25.99,2.2,2.19,2.26,2.29,2.14
18/12/2020 12:00,28.13,28.15,28.07,27.62,25.97,2.19,2.2,2.27,2.29,2.14
18/12/2020 11:00,28.13,28.13,28.06,27.61,25.95,2.2,2.2,2.28,2.29,2.14
18/12/2020 10:00,28.1,28.13,28.05,27.59,25.93,2.25,2.19,2.28,2.3,2.13
17/12/2020 17:00,28.17,28.24,28.04,27.58,25.91,2.22,2.24,2.29,2.3,2.13
17/12/2020 16:00,28.13,28.16,28.02,27.55,25.88,2.22,2.22,2.3,2.3,2.13
17/12/2020 15:00,28.2,28.12,28.01,27.54,25.86,2.23,2.23,2.31,2.3,2.13
17/12/2020 14:00,28.29,28.19,28.0,27.52,25.84,2.28,2.23,2.31,2.31,2.13
17/12/2020 13:00,28.3,28.29,27.98,27.5,25.81,2.32,2.28,2.32,2.31,2.13
17/12/2020 12:00,28.25,28.29,27.95,27.47,25.79,2.3,2.31,2.33,2.31,2.13
17/12/2020 11:00,28.25,28.25,27.91,27.45,25.76,2.3,2.31,2.33,2.31,2.13
17/12/2020 10:00,28.3,28.25,27.88,27.42,25.74,2.3,2.3,2.33,2.31,2.13
16/12/2020 17:00,28.13,28.19,27.84,27.4,25.71,2.35,2.33,2.33,2.31,2.12
16/12/2020 16:00,28.13,28.13,27.81,27.37,25.69,2.35,2.36,2.33,2.31,2.12
