Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Valor,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]
30/12/2020 17:00,28.4,28.34,28.23,27.95,26.78,16.28,16.16,16.42,16.54,17.08
30/12/2020 16:00,28.4,28.4,28.22,27.94,26.77,16.47,16.28,16.45,16.55,17.09
30/12/2020 15:00,28.36,28.4,28.2,27.93,26.75,16.33,16.47,16.47,16.56,17.1
30/12/2020 14:00,28.25,28.35,28.18,27.91,26.73,16.35,16.34,16.47,16.56,17.11
30/12/2020 13:00,28.32,28.25,28.16,27.9,26.72,16.48,16.35,16.48,16.57,17.12
30/12/2020 12:00,28.34,28.33,28.15,27.89,26.7,16.56,16.48,16.49,16.58,17.12
30/12/2020 11:00,28.22,28.33,28.14,27.88,26.69,16.6,16.55,16.49,16.58,17.13
30/12/2020 10:00,28.35,28.22,28.12,27.86,26.67,16.61,16.6,16.49,16.58,17.14
29/12/2020 17:00,28.08,28.27,28.11,27.85,26.65,16.7,16.58,16.48,16.58,17.14
29/12/2020 16:00,28.13,28.09,28.09,27.84,26.64,16.7,16.7,16.47,16.58,17.15
29/12/2020 15:00,28.06,28.13,28.09,27.83,26.62,16.61,16.7,16.44,16.58,17.15
29/12/2020 14:00,28.15,28.05,28.09,27.82,26.61,16.62,16.6,16.42,16.57,17.16
29/12/2020 13:00,28.22,28.15,28.09,27.81,26.59,16.73,16.62,16.4,16.57,17.16
29/12/2020 12:00,28.27,28.21,28.08,27.8,26.58,16.52,16.73,16.38,16.57,17.17
29/12/2020 11:00,28.31,28.27,28.07,27.79,26.56,16.71,16.52,16.34,16.57,17.17
29/12/2020 10:00,28.38,28.31,28.05,27.78,26.54,16.64,16.71,16.33,16.57,17.18
28/12/2020 17:00,28.28,28.18,28.02,27.76,26.53,16.53,16.59,16.29,16.56,17.18
28/12/2020 16:00,28.33,28.29,28.01,27.75,26.51,16.32,16.53,16.26,16.56,17.19
28/12/2020 15:00,28.31,28.33,27.98,27.73,26.49,16.22,16.31,16.23,16.56,17.19
28/12/2020 14:00,28.39,28.31,27.95,27.71,26.47,16.26,16.21,16.22,16.57,17.2
28/12/2020 13:00,28.32,28.39,27.91,27.69,26.45,16.05,16.25,16.22,16.58,17.21
28/12/2020 12:00,28.25,28.33,27.86,27.67,26.44,16.06,16.04,16.22,16.59,17.22
28/12/2020 11:00,28.27,28.26,27.82,27.65,26.42,16.21,16.06,16.24,16.61,17.23
28/12/2020 10:00,28.36,28.27,27.77,27.63,26.4,16.4,16.2,16.26,16.63,17.25
23/12/2020 17:00,27.98,27.95,27.72,27.61,26.38,16.08,16.13,16.26,16.64,17.26
23/12/2020 16:00,28.09,27.98,27.7,27.6,26.36,16.11,16.09,16.27,16.66,17.27
23/12/2020 15:00,28.08,28.08,27.67,27.59,26.35,16.24,16.11,16.29,16.67,17.28
23/12/2020 14:00,28.19,28.13,27.63,27.58,26.33,16.28,16.23,16.31,16.69,17.29
23/12/2020 13:00,28.03,28.19,27.58,27.56,26.31,16.35,16.27,16.32,16.7,17.3
23/12/2020 12:00,28.03,28.03,27.52,27.54,26.29,16.44,16.34,16.32,16.72,17.31
23/12/2020 11:00,27.4,28.03,27.47,27.52,26.28,16.14,16.44,16.32,16.73,17.32
23/12/2020 10:00,27.43,27.41,27.41,27.51,26.26,15.85,16.14,16.31,16.74,17.33
22/12/2020 17:00,27.29,27.28,27.41,27.51,26.25,15.94,15.94,16.33,16.76,17.34
22/12/2020 16:00,27.28,27.29,27.42,27.52,26.24,16.0,15.94,16.37,16.78,17.36
22/12/2020 15:00,27.19,27.28,27.44,27.53,26.22,16.04,16.0,16.41,16.81,17.37
22/12/2020 14:00,27.12,27.18,27.45,27.53,26.21,16.06,16.04,16.45,16.83,17.39
22/12/2020 13:00,27.17,27.14,27.48,27.54,26.2,16.19,16.05,16.49,16.86,17.4
22/12/2020 12:00,27.17,27.17,27.51,27.56,26.2,16.12,16.18,16.53,16.88,17.41
22/12/2020 11:00,27.36,27.17,27.55,27.57,26.19,16.23,16.12,16.57,16.9,17.43
22/12/2020 10:00,27.2,27.37,27.58,27.58,26.18,16.35,16.22,16.62,16.93,17.44
21/12/2020 17:00,27.36,27.02,27.61,27.59,26.16,16.46,16.15,16.65,16.95,17.45
21/12/2020 16:00,27.43,27.36,27.66,27.6,26.15,16.45,16.45,16.7,16.97,17.46
21/12/2020 15:00,27.02,27.42,27.7,27.61,26.14,16.32,16.45,16.73,16.99,17.47
21/12/2020 14:00,27.04,27.01,27.72,27.62,26.13,16.43,16.32,16.76,17.01,17.48
21/12/2020 13:00,27.09,27.04,27.79,27.64,26.12,16.44,16.43,16.8,17.03,17.5
21/12/2020 12:00,27.16,27.09,27.87,27.65,26.11,16.5,16.44,16.84,17.05,17.51
21/12/2020 11:00,27.16,27.16,27.95,27.67,26.1,16.44,16.5,16.88,17.06,17.52
21/12/2020 10:00,27.19,27.16,28.03,27.69,26.09,15.0,16.44,16.92,17.08,17.53
18/12/2020 17:00,28.24,28.1,28.11,27.7,26.08,16.93,16.82,16.97,17.1,17.54
18/12/2020 16:00,28.24,28.23,28.11,27.69,26.06,16.94,16.93,16.98,17.11,17.55
18/12/2020 15:00,28.21,28.25,28.1,27.67,26.04,16.92,16.93,16.98,17.12,17.55
18/12/2020 14:00,28.17,28.21,28.09,27.66,26.02,16.9,16.91,16.99,17.12,17.56
18/12/2020 13:00,28.15,28.17,28.08,27.64,25.99,16.97,16.91,17.0,17.13,17.56
18/12/2020 12:00,28.13,28.15,28.07,27.62,25.97,17.01,16.96,17.01,17.13,17.57
18/12/2020 11:00,28.13,28.13,28.06,27.61,25.95,16.88,17.0,17.01,17.14,17.58
18/12/2020 10:00,28.1,28.13,28.05,27.59,25.93,16.93,16.88,17.01,17.14,17.58
17/12/2020 17:00,28.17,28.24,28.04,27.58,25.91,16.92,16.97,17.03,17.15,17.59
