Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Valor,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]
"30/12/2020 17:00""",,,,,,37.78,37.69,37.5,36.92,37.02
"30/12/2020 16:00""",,,,,,37.93,37.78,37.48,36.89,37.01
"30/12/2020 15:00""",,,,,,37.83,37.92,37.45,36.87,37.01
"30/12/2020 14:00""",,,,,,37.79,37.82,37.4,36.83,37.0
"30/12/2020 13:00""",,,,,,37.87,37.78,37.36,36.8,36.99
"30/12/2020 12:00""",,,,,,38.0,37.88,37.32,36.77,36.98
"30/12/2020 11:00""",,,,,,38.11,37.99,37.26,36.74,36.97
"30/12/2020 10:00""",,,,,,37.5,38.12,37.19,36.7,36.96
"29/12/2020 17:00""",,,,,,37.37,37.39,37.09,36.66,36.95
"29/12/2020 16:00""",,,,,,37.39,37.36,37.06,36.64,36.95
"29/12/2020 15:00""",,,,,,37.18,37.39,37.03,36.61,36.94
"29/12/2020 14:00""",,,,,,37.28,37.18,37.0,36.59,36.94
"29/12/2020 13:00""",,,,,,37.42,37.27,36.98,36.57,36.94
"29/12/2020 12:00""",,,,,,37.19,37.44,36.95,36.55,36.93
"29/12/2020 11:00""",,,,,,37.58,37.19,36.9,36.52,36.93
"29/12/2020 10:00""",,,,,,37.74,37.58,36.87,36.5,36.92
"28/12/2020 17:00""",,,,,,37.39,37.57,36.8,36.47,36.92
"28/12/2020 16:00""",,,,,,37.39,37.37,36.72,36.43,36.91
"28/12/2020 15:00""",,,,,,37.28,37.39,36.66,36.41,36.91
"28/12/2020 14:00""",,,,,,37.17,37.26,36.59,36.38,36.9
"28/12/2020 13:00""",,,,,,37.1,37.16,36.52,36.35,36.9
"28/12/2020 12:00""",,,,,,36.88,37.09,36.45,36.32,36.9
"28/12/2020 11:00""",,,,,,37.06,36.88,36.39,36.3,36.89
"28/12/2020 10:00""",,,,,,36.32,37.04,36.34,36.28,36.89
"23/12/2020 17:00""",,,,,,36.1,36.13,36.27,36.26,36.89
"23/12/2020 16:00""",,,,,,36.24,36.09,36.28,36.26,36.9
"23/12/2020 15:00""",,,,,,36.31,36.24,36.3,36.27,36.91
"23/12/2020 14:00""",,,,,,36.3,36.33,36.31,36.27,36.91
"23/12/2020 13:00""",,,,,,36.16,36.32,36.31,36.27,36.92
"23/12/2020 12:00""",,,,,,36.26,36.16,36.31,36.26,36.93
"23/12/2020 11:00""",,,,,,36.62,36.27,36.32,36.27,36.93
"23/12/2020 10:00""",,,,,,36.34,36.62,36.32,36.27,36.94
"22/12/2020 17:00""",,,,,,36.16,36.23,36.29,36.26,36.94
"22/12/2020 16:00""",,,,,,36.14,36.15,36.3,36.26,36.95
"22/12/2020 15:00""",,,,,,36.1,36.14,36.32,36.26,36.96
"22/12/2020 14:00""",,,,,,36.02,36.11,36.33,36.26,36.97
"22/12/2020 13:00""",,,,,,36.32,36.02,36.36,36.27,36.98
"22/12/2020 12:00""",,,,,,36.29,36.31,36.39,36.28,36.99
"22/12/2020 11:00""",,,,,,36.32,36.3,36.4,36.28,36.99
"22/12/2020 10:00""",,,,,,36.15,36.32,36.41,36.27,37.0
"21/12/2020 17:00""",,,,,,36.3,35.83,36.41,36.27,37.01
"21/12/2020 16:00""",,,,,,36.47,36.3,36.47,36.29,37.02
"21/12/2020 15:00""",,,,,,36.39,36.45,36.49,36.29,37.03
"21/12/2020 14:00""",,,,,,36.55,36.39,36.49,36.28,37.03
"21/12/2020 13:00""",,,,,,36.2,36.55,36.51,36.28,37.04
"21/12/2020 12:00""",,,,,,36.15,36.2,36.5,36.27,37.04
"21/12/2020 11:00""",,,,,,35.98,36.15,36.53,36.27,37.05
"21/12/2020 10:00""",,,,,,35.38,36.0,36.57,36.28,37.06
"18/12/2020 17:00""",,,,,,36.47,36.24,36.63,36.28,37.07
"18/12/2020 16:00""",,,,,,36.5,36.48,36.66,36.29,37.08
"18/12/2020 15:00""",,,,,,36.65,36.51,36.68,36.28,37.08
"18/12/2020 14:00""",,,,,,36.51,36.65,36.7,36.27,37.09
"18/12/2020 13:00""",,,,,,36.86,36.51,36.71,36.26,37.1
"18/12/2020 12:00""",,,,,,36.97,36.86,36.73,36.25,37.1
"18/12/2020 11:00""",,,,,,37.29,36.97,36.71,36.23,37.1
"18/12/2020 10:00""",,,,,,37.7,37.31,36.69,36.21,37.1
"17/12/2020 17:00""",,,,,,37.23,37.68,36.62,36.18,37.1
"17/12/2020 16:00""",,,,,,37.1,37.24,36.52,36.13,37.1
"17/12/2020 15:00""",,,,,,37.2,37.1,36.45,36.1,37.1
"17/12/2020 14:00""",,,,,,37.2,37.19,36.38,36.07,37.1
"17/12/2020 13:00""",,,,,,37.14,37.2,36.3,36.03,37.09
"17/12/2020 12:00""",,,,,,37.11,37.14,36.21,36.0,37.09
"17/12/2020 11:00""",,,,,,36.5,37.11,36.12,35.96,37.09
"17/12/2020 10:00""",,,,,,36.46,36.5,36.02,35.93,37.09
"16/12/2020 17:00""",,,,,,36.53,36.46,35.97,35.91,37.1
"16/12/2020 16:00""",,,,,,36.35,36.53,35.92,35.89,37.11
"16/12/2020 15:00""",,,,,,36.43,36.36,35.86,35.87,37.11
"16/12/2020 14:00""",,,,,,36.26,36.43,35.81,35.86,37.12
"16/12/2020 13:00""",,,,,,36.34,36.26,35.75,35.84,37.13
"16/12/2020 12:00""",,,,,,36.51,36.34,35.7,35.83,37.13
"16/12/2020 11:00""",,,,,,36.08,36.53,35.64,35.81,37.14
"16/12/2020 10:00""",,,,,,36.39,36.05,35.55,35.79,37.15
"15/12/2020 17:00""",,,,,,36.06,36.18,35.5,35.78,37.16
"15/12/2020 16:00""",,,,,,35.97,36.06,35.43,35.77,37.17
"15/12/2020 15:00""",,,,,,36.04,35.97,35.37,35.76,37.18
"15/12/2020 14:00""",,,,,,35.68,36.04,35.3,35.75,37.19
"15/12/2020 13:00""",,,,,,35.22,35.68,35.23,35.74,37.2
"15/12/2020 12:00""",,,,,,34.8,35.21,35.19,35.75,37.22
"15/12/2020 11:00""",,,,,,34.32,34.78,35.18,35.76,37.24
"15/12/2020 10:00""",,,,,,35.04,34.31,35.23,35.79,37.26
"14/12/2020 17:00""",,,,,,35.41,35.09,35.32,35.84,37.29
"14/12/2020 16:00""",,,,,,35.4,35.41,35.34,35.86,37.32
"14/12/2020 15:00""",,,,,,35.32,35.41,35.33,35.88,37.34
"14/12/2020 14:00""",,,,,,35.47,35.33,35.32,35.89,37.35
"14/12/2020 13:00""",,,,,,35.22,35.48,35.32,35.91,37.38
"14/12/2020 12:00""",,,,,,35.09,35.22,35.31,35.92,37.39
"14/12/2020 11:00""",,,,,,35.31,35.13,35.32,35.94,37.42
"14/12/2020 10:00""",,,,,,35.5,35.32,35.34,35.97,37.44
"11/12/2020 17:00""",,,,,,35.32,35.31,35.34,35.99,37.46
"11/12/2020 16:00""",,,,,,35.23,35.32,35.34,36.01,37.48
"11/12/2020 15:00""",,,,,,35.32,35.24,35.34,36.03,37.5
"11/12/2020 14:00""",,,,,,35.32,35.31,35.36,36.05,37.53
"11/12/2020 13:00""",,,,,,35.17,35.31,35.36,36.08,37.55
"11/12/2020 12:00""",,,,,,34.91,35.16,35.36,36.1,37.57
"11/12/2020 11:00""",,,,,,34.89,34.91,35.38,36.13,37.6
"11/12/2020 10:00""",,,,,,35.21,34.89,35.43,36.17,37.62
"10/12/2020 17:00""",,,,,,35.31,35.31,35.49,36.2,37.65
"10/12/2020 16:00""",,,,,,35.41,35.31,35.5,36.23,37.67
"10/12/2020 15:00""",,,,,,35.57,35.41,35.52,36.26,37.7
"10/12/2020 14:00""",,,,,,35.61,35.57,35.53,36.29,37.72
"10/12/2020 13:00""",,,,,,35.53,35.63,35.53,36.31,37.74
"10/12/2020 12:00""",,,,,,34.78,35.52,35.52,36.33,37.76
"10/12/2020 11:00""",,,,,,34.89,34.78,35.52,36.35,37.79
"10/12/2020 10:00""",,,,,,35.42,34.89,35.59,36.4,37.82
"09/12/2020 17:00""",,,,,,35.23,35.31,35.66,36.45,37.85
"09/12/2020 16:00""",,,,,,35.25,35.23,35.7,36.48,37.87
"09/12/2020 15:00""",,,,,,35.38,35.24,35.75,36.52,37.9
"09/12/2020 14:00""",,,,,,35.41,35.38,35.8,36.56,37.92
"09/12/2020 13:00""",,,,,,35.41,35.41,35.84,36.6,37.95
"09/12/2020 12:00""",,,,,,35.72,35.42,35.88,36.64,37.98
"09/12/2020 11:00""",,,,,,35.95,35.71,35.93,36.67,38.0
"09/12/2020 10:00""",,,,,,36.16,35.95,35.95,36.7,38.02
"08/12/2020 17:00""",,,,,,36.0,36.16,35.95,36.73,38.04
"08/12/2020 16:00""",,,,,,35.79,36.0,35.93,36.74,38.06
"08/12/2020 15:00""",,,,,,35.56,35.8,35.92,36.77,38.08
"08/12/2020 14:00""",,,,,,35.66,35.55,35.93,36.8,38.11
"08/12/2020 13:00""",,,,,,35.64,35.66,35.97,36.83,38.13
"08/12/2020 12:00""",,,,,,35.69,35.64,36.0,36.87,38.16
"08/12/2020 11:00""",,,,,,35.63,35.69,36.04,36.91,38.18
"08/12/2020 10:00""",,,,,,35.84,35.63,36.07,36.95,38.21
"07/12/2020 17:00""",,,,,,35.65,35.62,36.12,36.99,38.23
"07/12/2020 16:00""",,,,,,35.94,35.65,36.17,37.03,38.26
"07/12/2020 15:00""",,,,,,35.99,35.94,36.22,37.07,38.29
"07/12/2020 14:00""",,,,,,36.14,35.98,36.25,37.11,38.31
"07/12/2020 13:00""",,,,,,36.27,36.14,36.27,37.14,38.33
"07/12/2020 12:00""",,,,,,36.45,36.26,36.29,37.17,38.36
"07/12/2020 11:00""",,,,,,35.83,36.43,36.29,37.2,38.38
"07/12/2020 10:00""",,,,,,35.8,35.84,36.28,37.22,38.4
"04/12/2020 17:00""",,,,,,35.78,35.71,36.32,37.27,38.42
"04/12/2020 16:00""",,,,,,35.79,35.78,36.38,37.31,38.45
"04/12/2020 15:00""",,,,,,35.84,35.79,36.44,37.36,38.48
"04/12/2020 14:00""",,,,,,35.92,35.85,36.51,37.41,38.5
"04/12/2020 13:00""",,,,,,36.12,35.92,36.57,37.46,38.53
"04/12/2020 12:00""",,,,,,36.09,36.11,36.64,37.5,38.56
"04/12/2020 11:00""",,,,,,36.11,36.09,36.69,37.55,38.58
"04/12/2020 10:00""",,,,,,36.85,36.11,36.75,37.59,38.61
"03/12/2020 17:00""",,,,,,37.09,36.77,36.81,37.64,38.63
"03/12/2020 16:00""",,,,,,36.96,37.1,36.82,37.66,38.65
"03/12/2020 15:00""",,,,,,36.71,36.97,36.79,37.68,38.66
"03/12/2020 14:00""",,,,,,37.25,36.72,36.77,37.7,38.68
"03/12/2020 13:00""",,,,,,36.86,37.25,36.77,37.73,38.7
"03/12/2020 12:00""",,,,,,36.8,36.86,36.73,37.75,38.72
"03/12/2020 11:00""",,,,,,36.78,36.79,36.71,37.78,38.73
"03/12/2020 10:00""",,,,,,36.46,36.78,36.71,37.81,38.75
"02/12/2020 17:00""",,,,,,36.49,36.42,36.7,37.84,38.77
"02/12/2020 16:00""",,,,,,36.24,36.49,36.73,37.88,38.8
"02/12/2020 15:00""",,,,,,36.02,36.23,36.75,37.92,38.82
"02/12/2020 14:00""",,,,,,36.17,36.04,36.8,37.98,38.85
"02/12/2020 13:00""",,,,,,36.07,36.17,36.88,38.04,38.88
"02/12/2020 12:00""",,,,,,35.95,36.08,36.95,38.09,38.9
"02/12/2020 11:00""",,,,,,36.33,35.94,37.03,38.15,38.93
"02/12/2020 10:00""",,,,,,37.05,36.34,37.14,38.22,38.96
"01/12/2020 17:00""",,,,,,36.64,36.61,37.22,38.28,38.99
"01/12/2020 16:00""",,,,,,36.61,36.64,37.29,38.33,39.01
"01/12/2020 15:00""",,,,,,36.65,36.61,37.35,38.38,39.04
"01/12/2020 14:00""",,,,,,36.81,36.65,37.43,38.44,39.06
"01/12/2020 13:00""",,,,,,36.58,36.82,37.5,38.49,39.08
"01/12/2020 12:00""",,,,,,36.7,36.59,37.57,38.55,39.11
"01/12/2020 11:00""",,,,,,37.35,36.7,37.67,38.61,39.13
"01/12/2020 10:00""",,,,,,36.73,37.37,37.77,38.66,39.16
"30/11/2020 17:00""",,,,,,36.87,36.59,37.81,38.7,39.17
"30/11/2020 16:00""",,,,,,36.96,36.87,37.93,38.77,39.2
"30/11/2020 15:00""",,,,,,36.95,36.96,38.03,38.83,39.22
"30/11/2020 14:00""",,,,,,37.1,36.95,38.14,38.89,39.25
"30/11/2020 13:00""",,,,,,37.38,37.08,38.26,38.95,39.27
"30/11/2020 12:00""",,,,,,37.65,37.38,38.38,39.0,39.29
"30/11/2020 11:00""",,,,,,37.91,37.65,38.48,39.05,39.31
"30/11/2020 10:00""",,,,,,38.41,37.91,38.56,39.1,39.33
"27/11/2020 17:00""",,,,,,38.48,38.3,38.62,39.13,39.34
"27/11/2020 16:00""",,,,,,38.55,38.48,38.66,39.16,39.35
"27/11/2020 15:00""",,,,,,38.47,38.54,38.67,39.18,39.36
"27/11/2020 14:00""",,,,,,38.63,38.47,38.69,39.2,39.37
"27/11/2020 13:00""",,,,,,39.05,38.62,38.71,39.22,39.38
"27/11/2020 12:00""",,,,,,38.61,39.03,38.72,39.24,39.39
"27/11/2020 11:00""",,,,,,38.6,38.6,38.69,39.25,39.39
"27/11/2020 10:00""",,,,,,38.78,38.6,38.7,39.27,39.4
"26/11/2020 17:00""",,,,,,38.79,38.64,38.71,39.29,39.4
"26/11/2020 16:00""",,,,,,38.76,38.78,38.71,39.31,39.41
"26/11/2020 15:00""",,,,,,38.73,38.76,38.7,39.32,39.42
"26/11/2020 14:00""",,,,,,38.67,38.72,38.7,39.34,39.43
"26/11/2020 13:00""",,,,,,38.65,38.67,38.7,39.36,39.43
"26/11/2020 12:00""",,,,,,38.58,38.65,38.7,39.38,39.44
"26/11/2020 11:00""",,,,,,38.49,38.6,38.7,39.4,39.45
"26/11/2020 10:00""",,,,,,38.46,38.48,38.71,39.43,39.46
"25/11/2020 17:00""",,,,,,38.71,38.46,38.74,39.46,39.47
"25/11/2020 16:00""",,,,,,38.7,38.71,38.77,39.49,39.48
"25/11/2020 15:00""",,,,,,38.5,38.7,38.77,39.51,39.48
"25/11/2020 14:00""",,,,,,38.41,38.51,38.78,39.53,39.49
"25/11/2020 13:00""",,,,,,38.41,38.41,38.8,39.57,39.5
"25/11/2020 12:00""",,,,,,38.45,38.41,38.84,39.6,39.51
"25/11/2020 11:00""",,,,,,38.59,38.46,38.89,39.64,39.52
"25/11/2020 10:00""",,,,,,38.25,38.61,38.93,39.67,39.53
"24/11/2020 17:00""",,,,,,38.38,38.27,38.96,39.71,39.54
"24/11/2020 16:00""",,,,,,38.37,38.39,39.03,39.75,39.56
"24/11/2020 15:00""",,,,,,38.3,38.37,39.1,39.79,39.57
"24/11/2020 14:00""",,,,,,38.29,38.3,39.17,39.84,39.58
"24/11/2020 13:00""",,,,,,38.36,38.28,39.26,39.88,39.59
"24/11/2020 12:00""",,,,,,38.71,38.36,39.35,39.93,39.61
"24/11/2020 11:00""",,,,,,38.72,38.69,39.45,39.98,39.62
"24/11/2020 10:00""",,,,,,39.09,38.72,39.53,40.02,39.63
"23/11/2020 17:00""",,,,,,39.12,39.05,39.61,40.06,39.64
"23/11/2020 16:00""",,,,,,39.32,39.12,39.66,40.09,39.64
"23/11/2020 15:00""",,,,,,39.31,39.33,39.72,40.12,39.65
"23/11/2020 14:00""",,,,,,39.14,39.31,39.76,40.15,39.65
"23/11/2020 13:00""",,,,,,39.37,39.14,39.8,40.17,39.66
"23/11/2020 12:00""",,,,,,39.45,39.37,39.87,40.21,39.66
"23/11/2020 11:00""",,,,,,39.74,39.46,39.92,40.23,39.66
"23/11/2020 10:00""",,,,,,39.95,39.76,39.97,40.26,39.67
"20/11/2020 17:00""",,,,,,39.59,39.79,39.99,40.27,39.67
"20/11/2020 16:00""",,,,,,39.58,39.59,40.01,40.29,39.66
"20/11/2020 15:00""",,,,,,39.53,39.58,40.05,40.31,39.66
"20/11/2020 14:00""",,,,,,39.76,39.54,40.09,40.33,39.67
"20/11/2020 13:00""",,,,,,39.76,39.76,40.15,40.35,39.67
"20/11/2020 12:00""",,,,,,39.62,39.76,40.19,40.37,39.67
"20/11/2020 11:00""",,,,,,39.59,39.62,40.23,40.39,39.66
"20/11/2020 10:00""",,,,,,40.24,39.59,40.29,40.41,39.67
"19/11/2020 17:00""",,,,,,40.29,40.25,40.36,40.44,39.67
"19/11/2020 16:00""",,,,,,40.27,40.3,40.37,40.44,39.66
"19/11/2020 15:00""",,,,,,40.11,40.27,40.38,40.45,39.65
"19/11/2020 14:00""",,,,,,40.07,40.11,40.39,40.45,39.65
"19/11/2020 13:00""",,,,,,40.22,40.07,40.42,40.47,39.64
"19/11/2020 12:00""",,,,,,40.49,40.23,40.45,40.48,39.64
"19/11/2020 11:00""",,,,,,40.26,40.48,40.47,40.49,39.63
"19/11/2020 10:00""",,,,,,40.11,40.29,40.47,40.49,39.62
"18/11/2020 17:00""",,,,,,40.45,40.33,40.49,40.49,39.62
"18/11/2020 16:00""",,,,,,40.76,40.46,40.51,40.5,39.61
"18/11/2020 15:00""",,,,,,40.84,40.76,40.51,40.5,39.6
"18/11/2020 14:00""",,,,,,40.74,40.84,40.49,40.49,39.59
"18/11/2020 13:00""",,,,,,40.42,40.73,40.45,40.48,39.58
"18/11/2020 12:00""",,,,,,40.12,40.41,40.42,40.47,39.57
"18/11/2020 11:00""",,,,,,40.38,40.11,40.42,40.47,39.56
"18/11/2020 10:00""",,,,,,40.56,40.36,40.46,40.48,39.55
