Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Média Móvel E [200]_x,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]_y
30/12/2020 17:00,28.4,28.34,28.23,27.95,26.78,5191.5,5193.5,5198.6,5183.58,5193.35
30/12/2020 16:00,28.4,28.4,28.22,27.94,26.77,5180.0,5192.0,5199.11,5183.28,5193.35
30/12/2020 15:00,28.36,28.4,28.2,27.93,26.75,5170.5,5180.0,5199.82,5183.01,5193.36
30/12/2020 14:00,28.25,28.35,28.18,27.91,26.73,5178.5,5170.0,5201.8,5183.1,5193.5
30/12/2020 13:00,28.32,28.25,28.16,27.9,26.72,5179.5,5178.5,5204.98,5183.51,5193.73
30/12/2020 12:00,28.34,28.33,28.15,27.89,26.7,5210.5,5179.0,5207.63,5183.66,5193.89
30/12/2020 11:00,28.22,28.33,28.14,27.88,26.69,5221.0,5210.0,5210.49,5183.8,5194.04
30/12/2020 10:00,28.35,28.22,28.12,27.86,26.67,5194.0,5220.5,5210.54,5183.0,5193.88
29/12/2020 17:00,28.08,28.27,28.11,27.85,26.65,5187.45,5209.49,5210.25,5180.3,5193.34
29/12/2020 16:00,28.13,28.09,28.09,27.84,26.64,5198.97,5187.45,5210.33,5179.4,5193.18
29/12/2020 15:00,28.06,28.13,28.09,27.83,26.62,5189.96,5197.97,5212.62,5179.15,5193.24
29/12/2020 14:00,28.15,28.05,28.09,27.82,26.61,5174.94,5189.96,5214.08,5178.57,5193.19
29/12/2020 13:00,28.22,28.15,28.09,27.81,26.59,5195.97,5173.93,5216.5,5178.22,5193.22
29/12/2020 12:00,28.27,28.21,28.08,27.8,26.58,5211.49,5195.97,5220.75,5178.36,5193.42
29/12/2020 11:00,28.31,28.27,28.07,27.79,26.56,5190.96,5210.99,5223.23,5177.81,5193.39
29/12/2020 10:00,28.38,28.31,28.05,27.78,26.54,5209.99,5191.46,5224.46,5176.79,5193.22
28/12/2020 17:00,28.28,28.18,28.02,27.76,26.53,5246.04,5253.05,5227.78,5173.1,5192.52
28/12/2020 16:00,28.33,28.29,28.01,27.75,26.51,5263.56,5245.54,5225.25,5170.64,5191.91
28/12/2020 15:00,28.31,28.33,27.98,27.73,26.49,5275.58,5264.56,5223.23,5168.34,5191.38
28/12/2020 14:00,28.39,28.31,27.95,27.71,26.47,5313.13,5275.58,5219.09,5165.38,5190.64
28/12/2020 13:00,28.32,28.39,27.91,27.69,26.45,5305.62,5313.13,5213.44,5161.98,5189.79
28/12/2020 12:00,28.25,28.33,27.86,27.67,26.44,5265.57,5305.12,5203.47,5157.33,5188.55
28/12/2020 11:00,28.27,28.26,27.82,27.65,26.42,5210.99,5265.57,5193.31,5152.79,5187.38
28/12/2020 10:00,28.36,28.27,27.77,27.63,26.4,5189.96,5210.99,5186.08,5149.32,5186.59
23/12/2020 17:00,27.98,27.95,27.72,27.61,26.38,5205.98,5211.49,5178.8,5143.7,5185.92
23/12/2020 16:00,28.09,27.98,27.7,27.6,26.36,5210.99,5206.48,5175.53,5141.61,5185.67
23/12/2020 15:00,28.08,28.08,27.67,27.59,26.35,5220.5,5211.49,5172.43,5139.62,5185.46
23/12/2020 14:00,28.19,28.13,27.63,27.58,26.33,5215.49,5220.5,5168.53,5137.4,5185.2
23/12/2020 13:00,28.03,28.19,27.58,27.56,26.31,5206.48,5215.99,5163.33,5134.85,5184.84
23/12/2020 12:00,28.03,28.03,27.52,27.54,26.29,5174.94,5205.98,5158.06,5132.35,5184.53
23/12/2020 11:00,27.4,28.03,27.47,27.52,26.28,5174.94,5174.44,5153.27,5130.08,5184.31
23/12/2020 10:00,27.43,27.41,27.41,27.51,26.26,5159.91,5175.94,5151.16,5128.72,5184.41
22/12/2020 17:00,27.29,27.28,27.41,27.51,26.25,5169.43,5169.93,5146.03,5125.14,5184.96
22/12/2020 16:00,27.28,27.29,27.42,27.52,26.24,5167.93,5169.43,5143.64,5123.76,5185.11
22/12/2020 15:00,27.19,27.28,27.44,27.53,26.22,5162.42,5169.93,5141.06,5122.35,5185.27
22/12/2020 14:00,27.12,27.18,27.45,27.53,26.21,5165.92,5162.92,5138.17,5120.89,5185.43
22/12/2020 13:00,27.17,27.14,27.48,27.54,26.2,5148.9,5166.42,5135.7,5119.59,5185.65
22/12/2020 12:00,27.17,27.17,27.51,27.56,26.2,5168.43,5148.9,5132.62,5118.15,5185.85
22/12/2020 11:00,27.36,27.17,27.55,27.57,26.19,5137.38,5168.93,5131.0,5117.21,5186.22
