Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Média Móvel E [200]_x,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]_y
30/12/2020 17:00,28.4,28.34,28.23,27.95,26.78,119250.38,119017.24,119101.84,117949.85,114317.29
30/12/2020 16:00,28.4,28.4,28.22,27.94,26.77,119484.34,119242.08,119110.3,117917.0,114270.06
30/12/2020 15:00,28.36,28.4,28.2,27.93,26.75,119511.59,119464.05,119097.12,117876.23,114220.09
30/12/2020 14:00,28.25,28.35,28.18,27.91,26.73,119302.88,119531.87,119060.43,117827.38,114167.38
30/12/2020 13:00,28.32,28.25,28.16,27.9,26.72,119545.77,119323.84,119013.29,117774.93,114113.47
30/12/2020 12:00,28.34,28.33,28.15,27.89,26.7,119697.16,119537.69,118982.23,117727.27,114061.1
30/12/2020 11:00,28.22,28.33,28.14,27.88,26.69,119792.72,119673.78,118926.68,117671.56,114006.06
30/12/2020 10:00,28.35,28.22,28.12,27.86,26.67,119409.85,119817.47,118851.97,117609.96,113949.1
29/12/2020 17:00,28.08,28.27,28.11,27.85,26.65,119401.71,119409.15,118755.42,117542.03,113890.12
29/12/2020 16:00,28.13,28.09,28.09,27.84,26.64,119502.21,119381.84,118690.05,117484.59,113834.65
29/12/2020 15:00,28.06,28.13,28.09,27.83,26.62,118993.37,119492.86,118620.87,117426.21,113778.9
29/12/2020 14:00,28.15,28.05,28.09,27.82,26.61,119170.74,119004.05,118533.67,117362.62,113721.48
29/12/2020 13:00,28.22,28.15,28.09,27.81,26.59,119185.43,119147.84,118486.64,117312.11,113668.38
29/12/2020 12:00,28.27,28.21,28.08,27.8,26.58,118906.97,119193.32,118420.52,117255.63,113613.31
29/12/2020 11:00,28.31,28.27,28.07,27.79,26.56,119596.56,118832.48,118343.24,117196.01,113557.23
29/12/2020 10:00,28.38,28.31,28.05,27.78,26.54,119130.06,119598.01,118294.31,117145.66,113504.22
28/12/2020 17:00,28.28,28.18,28.02,27.76,26.53,119089.87,119123.7,118163.94,117070.2,113442.97
28/12/2020 16:00,28.33,28.29,28.01,27.75,26.51,119131.88,119074.65,118067.97,117007.01,113385.88
28/12/2020 15:00,28.31,28.33,27.98,27.73,26.49,118920.69,119110.16,117967.3,116943.39,113328.71
28/12/2020 14:00,28.39,28.31,27.95,27.71,26.47,119017.45,118936.26,117853.01,116876.72,113270.6
28/12/2020 13:00,28.32,28.39,27.91,27.69,26.45,118402.98,119033.22,117744.69,116813.35,113213.66
28/12/2020 12:00,28.25,28.33,27.86,27.67,26.44,118314.33,118423.43,117615.83,116745.05,113155.17
28/12/2020 11:00,28.27,28.26,27.82,27.65,26.42,118601.86,118355.01,117535.07,116693.41,113102.22
28/12/2020 10:00,28.36,28.27,27.77,27.63,26.4,117805.56,118644.86,117453.08,116642.28,113049.43
23/12/2020 17:00,27.98,27.95,27.72,27.61,26.38,117800.49,117806.85,117333.9,116580.66,112993.2
23/12/2020 16:00,28.09,27.98,27.7,27.6,26.36,117869.79,117801.78,117286.61,116542.93,112944.82
23/12/2020 15:00,28.08,28.08,27.67,27.59,26.35,118165.2,117860.68,117235.09,116504.2,112896.01
23/12/2020 14:00,28.19,28.13,27.63,27.58,26.33,118229.16,118160.81,117172.53,116462.46,112846.11
23/12/2020 13:00,28.03,28.19,27.58,27.56,26.31,118033.89,118239.16,117073.7,116410.21,112792.69
23/12/2020 12:00,28.03,28.03,27.52,27.54,26.29,117638.88,117992.34,116957.16,116353.93,112737.96
23/12/2020 11:00,27.4,28.03,27.47,27.52,26.28,117273.12,117627.76,116853.64,116303.52,112685.15
23/12/2020 10:00,27.43,27.41,27.41,27.51,26.26,116636.18,117290.05,116776.23,116262.77,112635.47
22/12/2020 17:00,27.29,27.28,27.41,27.51,26.25,116531.41,116636.18,116724.85,116231.16,112588.69
22/12/2020 16:00,27.28,27.29,27.42,27.52,26.24,116279.42,116527.57,116733.71,116218.7,112548.02
22/12/2020 15:00,27.19,27.28,27.44,27.53,26.22,116382.68,116277.46,116754.33,116209.2,112508.02
22/12/2020 14:00,27.12,27.18,27.45,27.53,26.21,116016.28,116374.03,116802.01,116207.1,112470.14
22/12/2020 13:00,27.17,27.14,27.48,27.54,26.2,116526.19,116003.09,116844.81,116201.96,112430.9
