Data,Abertura_x,Fechamento_x,Média Móvel E [21]_x,Média Móvel E [66]_x,Média Móvel E [200]_x,Abertura_y,Fechamento_y,Média Móvel E [21]_y,Média Móvel E [66]_y,Média Móvel E [200]_y
30/12/2020 17:00,28.4,28.34,28.23,27.95,26.78,87.29,87.45,87.25,86.66,82.04
30/12/2020 16:00,28.4,28.4,28.22,27.94,26.77,87.46,87.28,87.23,86.64,81.98
30/12/2020 15:00,28.36,28.4,28.2,27.93,26.75,87.19,87.47,87.22,86.62,81.93
30/12/2020 14:00,28.25,28.35,28.18,27.91,26.73,87.28,87.19,87.2,86.59,81.88
30/12/2020 13:00,28.32,28.25,28.16,27.9,26.72,87.03,87.28,87.2,86.57,81.82
30/12/2020 12:00,28.34,28.33,28.15,27.89,26.7,87.02,87.04,87.19,86.55,81.77
30/12/2020 11:00,28.22,28.33,28.14,27.88,26.69,87.05,87.04,87.2,86.54,81.71
30/12/2020 10:00,28.35,28.22,28.12,27.86,26.67,87.19,87.05,87.22,86.52,81.66
29/12/2020 17:00,28.08,28.27,28.11,27.85,26.65,87.18,87.07,87.24,86.5,81.61
29/12/2020 16:00,28.13,28.09,28.09,27.84,26.64,87.19,87.2,87.25,86.49,81.55
29/12/2020 15:00,28.06,28.13,28.09,27.83,26.62,86.97,87.2,87.26,86.46,81.5
29/12/2020 14:00,28.15,28.05,28.09,27.82,26.61,87.29,86.96,87.26,86.44,81.44
29/12/2020 13:00,28.22,28.15,28.09,27.81,26.59,87.25,87.28,87.29,86.43,81.38
29/12/2020 12:00,28.27,28.21,28.08,27.8,26.58,86.59,87.25,87.3,86.4,81.32
29/12/2020 11:00,28.31,28.27,28.07,27.79,26.56,87.41,86.6,87.3,86.37,81.26
29/12/2020 10:00,28.38,28.31,28.05,27.78,26.54,87.97,87.41,87.37,86.37,81.21
28/12/2020 17:00,28.28,28.18,28.02,27.76,26.53,87.53,87.31,87.37,86.33,81.15
28/12/2020 16:00,28.33,28.29,28.01,27.75,26.51,87.81,87.55,87.37,86.3,81.09
28/12/2020 15:00,28.31,28.33,27.98,27.73,26.49,87.94,87.81,87.35,86.27,81.02
28/12/2020 14:00,28.39,28.31,27.95,27.71,26.47,88.06,87.93,87.31,86.22,80.95
28/12/2020 13:00,28.32,28.39,27.91,27.69,26.45,87.93,88.05,87.25,86.17,80.88
28/12/2020 12:00,28.25,28.33,27.86,27.67,26.44,88.26,87.95,87.17,86.11,80.81
28/12/2020 11:00,28.27,28.26,27.82,27.65,26.42,87.99,88.27,87.09,86.05,80.74
28/12/2020 10:00,28.36,28.27,27.77,27.63,26.4,87.79,87.96,86.97,85.98,80.66
23/12/2020 17:00,27.98,27.95,27.72,27.61,26.38,86.94,87.36,86.87,85.92,80.59
23/12/2020 16:00,28.09,27.98,27.7,27.6,26.36,87.12,86.94,86.82,85.88,80.52
23/12/2020 15:00,28.08,28.08,27.67,27.59,26.35,87.15,87.16,86.81,85.85,80.46
23/12/2020 14:00,28.19,28.13,27.63,27.58,26.33,87.21,87.15,86.77,85.81,80.39
23/12/2020 13:00,28.03,28.19,27.58,27.56,26.31,87.17,87.21,86.74,85.76,80.32
23/12/2020 12:00,28.03,28.03,27.52,27.54,26.29,86.68,87.18,86.69,85.72,80.25
23/12/2020 11:00,27.4,28.03,27.47,27.52,26.28,86.8,86.7,86.64,85.67,80.18
23/12/2020 10:00,27.43,27.41,27.41,27.51,26.26,86.53,86.79,86.63,85.64,80.12
22/12/2020 17:00,27.29,27.28,27.41,27.51,26.25,86.71,86.94,86.62,85.61,80.05
22/12/2020 16:00,27.28,27.29,27.42,27.52,26.24,86.2,86.72,86.59,85.57,79.98
22/12/2020 15:00,27.19,27.28,27.44,27.53,26.22,86.05,86.21,86.57,85.53,79.91
