Data,Abertura,Fechamento,Média Móvel E [21],Média Móvel E [66],Média Móvel E [200]
30/12/2020 17:00,"31,37","31,23","31,53","31,33","30,26"
30/12/2020 16:00,"31,39","31,37","31,56","31,33","30,25"
30/12/2020 15:00,"31,55","31,39","31,57","31,33","30,24"
30/12/2020 14:00,"31,42","31,55","31,59","31,33","30,22"
30/12/2020 13:00,"31,55","31,42","31,6","31,32","30,21"
30/12/2020 12:00,"31,63","31,55","31,61","31,32","30,2"
30/12/2020 11:00,"31,7","31,63","31,62","31,31","30,19"
30/12/2020 10:00,"31,79","31,7","31,62","31,3","30,17"
29/12/2020 17:00,"31,63","31,69","31,61","31,29","30,16"
29/12/2020 16:00,"31,71","31,64","31,6","31,28","30,14"
29/12/2020 15:00,"31,6","31,72","31,6","31,27","30,13"
29/12/2020 14:00,"31,69","31,6","31,59","31,25","30,11"
29/12/2020 13:00,"31,66","31,7","31,59","31,24","30,09"
29/12/2020 12:00,"31,67","31,66","31,57","31,23","30,08"
29/12/2020 11:00,"31,88","31,66","31,56","31,22","30,06"
29/12/2020 10:00,"31,86","31,86","31,56","31,2","30,05"
28/12/2020 17:00,"31,76","31,76","31,52","31,18","30,03"
28/12/2020 16:00,"31,79","31,76","31,5","31,17","30,01"
28/12/2020 15:00,"31,76","31,79","31,48","31,15","29,99"
28/12/2020 14:00,"31,82","31,76","31,44","31,13","29,97"
28/12/2020 13:00,"31,69","31,82","31,41","31,11","29,96"
28/12/2020 12:00,"31,66","31,69","31,37","31,09","29,94"
28/12/2020 11:00,"31,82","31,64","31,34","31,07","29,92"
28/12/2020 10:00,"31,81","31,82","31,31","31,05","29,9"
23/12/2020 17:00,"31,55","31,53","31,26","31,03","29,88"
23/12/2020 16:00,"31,45","31,55","31,23","31,01","29,87"
23/12/2020 15:00,"31,58","31,45","31,2","30,99","29,85"
23/12/2020 14:00,"31,51","31,58","31,17","30,98","29,83"
23/12/2020 13:00,"31,48","31,51","31,13","30,96","29,82"
23/12/2020 12:00,"31,39","31,48","31,09","30,94","29,8"
23/12/2020 11:00,"31,19","31,39","31,06","30,93","29,78"
23/12/2020 10:00,"30,92","31,17","31,02","30,91","29,77"
22/12/2020 17:00,"30,84","30,85","31,01","30,91","29,75"
22/12/2020 16:00,"30,88","30,84","31,02","30,91","29,74"
22/12/2020 15:00,"31,04","30,87","31,04","30,91","29,73"
22/12/2020 14:00,"30,96","31,04","31,06","30,91","29,72"
22/12/2020 13:00,"31,12","30,97","31,06","30,91","29,71"
22/12/2020 12:00,"30,96","31,11","31,07","30,9","29,69"
22/12/2020 11:00,"31,08","30,96","31,07","30,9","29,68"
22/12/2020 10:00,"30,77","31,08","31,08","30,9","29,67"
21/12/2020 17:00,"31","30,7","31,08","30,89","29,65"
21/12/2020 16:00,"30,98","30,99","31,11","30,9","29,64"
21/12/2020 15:00,"30,73","30,98","31,12","30,89","29,63"
21/12/2020 14:00,"30,79","30,73","31,14","30,89","29,61"
21/12/2020 13:00,"30,85","30,79","31,18","30,9","29,6"
21/12/2020 12:00,"30,86","30,87","31,22","30,9","29,59"
21/12/2020 11:00,"31,05","30,87","31,25","30,9","29,58"
21/12/2020 10:00,"30,65","31,04","31,29","30,9","29,57"
18/12/2020 17:00,"31,47","31,26","31,32","30,9","29,55"
18/12/2020 16:00,"31,5","31,46","31,32","30,88","29,53"
18/12/2020 15:00,"31,51","31,52","31,31","30,87","29,51"
18/12/2020 14:00,"31,45","31,51","31,29","30,85","29,49"
18/12/2020 13:00,"31,5","31,47","31,26","30,83","29,47"
18/12/2020 12:00,"31,45","31,51","31,24","30,81","29,45"
18/12/2020 11:00,"31,18","31,44","31,22","30,78","29,43"
18/12/2020 10:00,"31,32","31,18","31,19","30,76","29,41"
17/12/2020 17:00,"31,23","31,31","31,2","30,75","29,39"
17/12/2020 16:00,"31,22","31,23","31,18","30,73","29,38"
17/12/2020 15:00,"31,43","31,22","31,18","30,72","29,36"
17/12/2020 14:00,"31,53","31,42","31,18","30,7","29,34"
17/12/2020 13:00,"31,65","31,53","31,15","30,68","29,32"
17/12/2020 12:00,"31,61","31,66","31,11","30,66","29,29"
17/12/2020 11:00,"31,46","31,6","31,06","30,62","29,27"
17/12/2020 10:00,"31,48","31,46","31","30,59","29,25"
16/12/2020 17:00,"31,56","31,35","30,96","30,57","29,23"
16/12/2020 16:00,"31,32","31,56","30,92","30,54","29,2"
16/12/2020 15:00,"30,9","31,33","30,85","30,51","29,18"
16/12/2020 14:00,"30,65","30,92","30,81","30,49","29,16"
16/12/2020 13:00,"30,89","30,65","30,8","30,47","29,14"
16/12/2020 12:00,"30,83","30,9","30,81","30,47","29,13"
16/12/2020 11:00,"30,9","30,83","30,8","30,46","29,11"
16/12/2020 10:00,"30,84","30,9","30,8","30,44","29,09"
15/12/2020 17:00,"30,86","30,76","30,79","30,43","29,07"
15/12/2020 16:00,"30,9","30,86","30,79","30,42","29,06"
15/12/2020 15:00,"30,92","30,9","30,78","30,41","29,04"
15/12/2020 14:00,"30,75","30,9","30,77","30,39","29,02"
15/12/2020 13:00,"30,82","30,76","30,76","30,37","29"
15/12/2020 12:00,"30,62","30,8","30,76","30,36","28,98"
15/12/2020 11:00,"30,7","30,62","30,75","30,35","28,96"
15/12/2020 10:00,"30,58","30,68","30,77","30,34","28,95"
14/12/2020 17:00,"30,69","30,49","30,78","30,33","28,93"
14/12/2020 16:00,"30,75","30,71","30,8","30,33","28,91"
14/12/2020 15:00,"30,69","30,74","30,81","30,31","28,9"
14/12/2020 14:00,"30,98","30,69","30,82","30,3","28,88"
14/12/2020 13:00,"30,72","30,99","30,83","30,29","28,86"
14/12/2020 12:00,"30,99","30,73","30,82","30,27","28,84"
14/12/2020 11:00,"31,09","30,99","30,83","30,25","28,82"
14/12/2020 10:00,"31,07","31,1","30,81","30,23","28,8"
11/12/2020 17:00,"31,05","30,9","30,78","30,2","28,77"
11/12/2020 16:00,"30,96","31,06","30,77","30,18","28,75"
11/12/2020 15:00,"31","30,97","30,74","30,15","28,73"
11/12/2020 14:00,"30,86","31","30,72","30,13","28,71"
11/12/2020 13:00,"30,94","30,87","30,69","30,1","28,68"
11/12/2020 12:00,"30,8","30,93","30,67","30,08","28,66"
