Data,Abertura,Fechamento,Média Móvel E [21],Média Móvel E [66],Média Móvel E [200]
30/12/2020 17:00,"2,18","2,2","2,18","2,19","2,15"
30/12/2020 16:00,"2,18","2,19","2,18","2,19","2,15"
30/12/2020 15:00,"2,17","2,19","2,18","2,19","2,15"
30/12/2020 14:00,"2,17","2,18","2,18","2,19","2,15"
30/12/2020 13:00,"2,18","2,17","2,18","2,2","2,15"
30/12/2020 12:00,"2,19","2,18","2,18","2,2","2,15"
30/12/2020 11:00,"2,19","2,19","2,18","2,2","2,15"
30/12/2020 10:00,"2,18","2,19","2,18","2,2","2,15"
29/12/2020 17:00,"2,18","2,18","2,18","2,2","2,14"
29/12/2020 16:00,"2,18","2,19","2,18","2,2","2,14"
29/12/2020 15:00,"2,18","2,19","2,18","2,2","2,14"
29/12/2020 14:00,"2,19","2,19","2,18","2,2","2,14"
29/12/2020 13:00,"2,19","2,18","2,18","2,2","2,14"
29/12/2020 12:00,"2,18","2,18","2,18","2,2","2,14"
29/12/2020 11:00,"2,25","2,18","2,17","2,2","2,14"
29/12/2020 10:00,"2,24","2,25","2,17","2,2","2,14"
28/12/2020 17:00,"2,19","2,22","2,17","2,2","2,14"
28/12/2020 16:00,"2,17","2,18","2,16","2,2","2,14"
28/12/2020 15:00,"2,17","2,17","2,16","2,2","2,14"
28/12/2020 14:00,"2,19","2,18","2,16","2,2","2,14"
28/12/2020 13:00,"2,18","2,18","2,16","2,2","2,14"
28/12/2020 12:00,"2,19","2,18","2,15","2,2","2,14"
28/12/2020 11:00,"2,16","2,19","2,15","2,2","2,14"
28/12/2020 10:00,"2,18","2,17","2,15","2,2","2,14"
23/12/2020 17:00,"2,16","2,16","2,15","2,2","2,14"
23/12/2020 16:00,"2,15","2,17","2,14","2,2","2,14"
23/12/2020 15:00,"2,14","2,15","2,14","2,2","2,14"
23/12/2020 14:00,"2,14","2,14","2,14","2,21","2,14"
23/12/2020 13:00,"2,12","2,14","2,14","2,21","2,14"
23/12/2020 12:00,"2,11","2,12","2,14","2,21","2,14"
23/12/2020 11:00,"2,11","2,11","2,14","2,21","2,14"
23/12/2020 10:00,"2,12","2,1","2,15","2,22","2,14"
22/12/2020 17:00,"2,13","2,11","2,15","2,22","2,14"
22/12/2020 16:00,"2,12","2,12","2,16","2,22","2,14"
22/12/2020 15:00,"2,12","2,13","2,16","2,23","2,14"
22/12/2020 14:00,"2,12","2,12","2,16","2,23","2,14"
22/12/2020 13:00,"2,13","2,13","2,17","2,23","2,14"
22/12/2020 12:00,"2,14","2,14","2,17","2,24","2,14"
22/12/2020 11:00,"2,14","2,13","2,17","2,24","2,14"
22/12/2020 10:00,"2,14","2,15","2,18","2,24","2,14"
21/12/2020 17:00,"2,13","2,11","2,18","2,24","2,14"
21/12/2020 16:00,"2,15","2,12","2,19","2,25","2,14"
21/12/2020 15:00,"2,13","2,15","2,19","2,25","2,14"
21/12/2020 14:00,"2,11","2,12","2,2","2,26","2,14"
21/12/2020 13:00,"2,11","2,12","2,2","2,26","2,14"
21/12/2020 12:00,"2,14","2,12","2,21","2,26","2,14"
21/12/2020 11:00,"2,14","2,14","2,22","2,27","2,14"
21/12/2020 10:00,"2,1","2,13","2,23","2,27","2,14"
18/12/2020 17:00,"2,19","2,19","2,24","2,28","2,14"
18/12/2020 16:00,"2,2","2,19","2,25","2,28","2,14"
18/12/2020 15:00,"2,21","2,2","2,25","2,28","2,14"
18/12/2020 14:00,"2,19","2,2","2,26","2,28","2,14"
18/12/2020 13:00,"2,2","2,19","2,26","2,29","2,14"
18/12/2020 12:00,"2,19","2,2","2,27","2,29","2,14"
18/12/2020 11:00,"2,2","2,2","2,28","2,29","2,14"
18/12/2020 10:00,"2,25","2,19","2,28","2,3","2,13"
17/12/2020 17:00,"2,22","2,24","2,29","2,3","2,13"
17/12/2020 16:00,"2,22","2,22","2,3","2,3","2,13"
17/12/2020 15:00,"2,23","2,23","2,31","2,3","2,13"
17/12/2020 14:00,"2,28","2,23","2,31","2,31","2,13"
17/12/2020 13:00,"2,32","2,28","2,32","2,31","2,13"
17/12/2020 12:00,"2,3","2,31","2,33","2,31","2,13"
17/12/2020 11:00,"2,3","2,31","2,33","2,31","2,13"
17/12/2020 10:00,"2,3","2,3","2,33","2,31","2,13"
16/12/2020 17:00,"2,35","2,33","2,33","2,31","2,12"
16/12/2020 16:00,"2,35","2,36","2,33","2,31","2,12"
16/12/2020 15:00,"2,31","2,35","2,33","2,31","2,12"
16/12/2020 14:00,"2,32","2,32","2,33","2,31","2,12"
16/12/2020 13:00,"2,31","2,31","2,33","2,31","2,11"
16/12/2020 12:00,"2,33","2,32","2,33","2,31","2,11"
16/12/2020 11:00,"2,35","2,34","2,33","2,31","2,11"
16/12/2020 10:00,"2,37","2,36","2,33","2,3","2,11"
15/12/2020 17:00,"2,31","2,35","2,33","2,3","2,11"
15/12/2020 16:00,"2,33","2,32","2,33","2,3","2,1"
15/12/2020 15:00,"2,32","2,32","2,33","2,3","2,1"
15/12/2020 14:00,"2,34","2,32","2,33","2,3","2,1"
15/12/2020 13:00,"2,29","2,34","2,33","2,3","2,1"
15/12/2020 12:00,"2,25","2,29","2,33","2,3","2,09"
15/12/2020 11:00,"2,26","2,26","2,33","2,3","2,09"
15/12/2020 10:00,"2,17","2,26","2,34","2,3","2,09"
14/12/2020 17:00,"2,25","2,2","2,35","2,3","2,09"
14/12/2020 16:00,"2,31","2,24","2,36","2,3","2,09"
14/12/2020 15:00,"2,35","2,31","2,37","2,31","2,09"
14/12/2020 14:00,"2,36","2,36","2,38","2,31","2,08"
14/12/2020 13:00,"2,33","2,37","2,38","2,3","2,08"
14/12/2020 12:00,"2,33","2,34","2,38","2,3","2,08"
14/12/2020 11:00,"2,39","2,33","2,39","2,3","2,08"
14/12/2020 10:00,"2,4","2,38","2,39","2,3","2,07"
11/12/2020 17:00,"2,38","2,36","2,39","2,3","2,07"
11/12/2020 16:00,"2,36","2,38","2,4","2,3","2,07"
11/12/2020 15:00,"2,38","2,37","2,4","2,29","2,06"
11/12/2020 14:00,"2,4","2,39","2,4","2,29","2,06"
11/12/2020 13:00,"2,41","2,4","2,4","2,29","2,06"
11/12/2020 12:00,"2,43","2,41","2,4","2,28","2,05"
11/12/2020 11:00,"2,45","2,44","2,4","2,28","2,05"
11/12/2020 10:00,"2,41","2,46","2,4","2,27","2,05"
10/12/2020 17:00,"2,41","2,43","2,39","2,27","2,04"
10/12/2020 16:00,"2,45","2,42","2,39","2,26","2,04"
10/12/2020 15:00,"2,46","2,44","2,39","2,26","2,03"
10/12/2020 14:00,"2,43","2,47","2,38","2,25","2,03"
10/12/2020 13:00,"2,41","2,44","2,37","2,25","2,03"
10/12/2020 12:00,"2,43","2,42","2,37","2,24","2,02"
10/12/2020 11:00,"2,39","2,43","2,36","2,24","2,02"
10/12/2020 10:00,"2,49","2,39","2,35","2,23","2,01"
09/12/2020 17:00,"2,38","2,45","2,35","2,22","2,01"
09/12/2020 16:00,"2,38","2,39","2,34","2,22","2,01"
09/12/2020 15:00,"2,39","2,38","2,33","2,21","2"
09/12/2020 14:00,"2,41","2,38","2,33","2,21","2"
09/12/2020 13:00,"2,39","2,41","2,32","2,2","1,99"
09/12/2020 12:00,"2,39","2,39","2,32","2,2","1,99"
09/12/2020 11:00,"2,4","2,39","2,31","2,19","1,99"
09/12/2020 10:00,"2,36","2,4","2,3","2,18","1,98"
08/12/2020 17:00,"2,34","2,33","2,29","2,18","1,98"
08/12/2020 16:00,"2,32","2,35","2,29","2,17","1,97"
08/12/2020 15:00,"2,3","2,33","2,28","2,17","1,97"
08/12/2020 14:00,"2,36","2,3","2,28","2,16","1,97"
08/12/2020 13:00,"2,33","2,37","2,27","2,16","1,96"
08/12/2020 12:00,"2,33","2,34","2,26","2,15","1,96"
08/12/2020 11:00,"2,31","2,33","2,26","2,14","1,96"
08/12/2020 10:00,"2,27","2,31","2,25","2,14","1,95"
07/12/2020 17:00,"2,3","2,26","2,24","2,13","1,95"
07/12/2020 16:00,"2,36","2,3","2,24","2,13","1,95"
07/12/2020 15:00,"2,37","2,36","2,23","2,12","1,94"
07/12/2020 14:00,"2,31","2,36","2,22","2,12","1,94"
07/12/2020 13:00,"2,3","2,32","2,21","2,11","1,93"
07/12/2020 12:00,"2,3","2,3","2,2","2,1","1,93"
07/12/2020 11:00,"2,29","2,3","2,19","2,1","1,93"
07/12/2020 10:00,"2,22","2,3","2,17","2,09","1,92"
04/12/2020 17:00,"2,19","2,22","2,16","2,08","1,92"
04/12/2020 16:00,"2,18","2,19","2,16","2,08","1,92"
04/12/2020 15:00,"2,17","2,17","2,15","2,08","1,91"
04/12/2020 14:00,"2,16","2,16","2,15","2,07","1,91"
04/12/2020 13:00,"2,16","2,16","2,15","2,07","1,91"
04/12/2020 12:00,"2,17","2,15","2,15","2,07","1,9"
04/12/2020 11:00,"2,16","2,17","2,15","2,07","1,9"
04/12/2020 10:00,"2,17","2,16","2,15","2,06","1,9"
03/12/2020 17:00,"2,17","2,16","2,15","2,06","1,9"
03/12/2020 16:00,"2,18","2,17","2,15","2,06","1,89"
03/12/2020 15:00,"2,18","2,18","2,14","2,05","1,89"
03/12/2020 14:00,"2,19","2,18","2,14","2,05","1,89"
03/12/2020 13:00,"2,18","2,18","2,13","2,05","1,89"
03/12/2020 12:00,"2,18","2,17","2,13","2,04","1,88"
03/12/2020 11:00,"2,19","2,17","2,13","2,04","1,88"
03/12/2020 10:00,"2,15","2,18","2,12","2,03","1,88"
02/12/2020 17:00,"2,14","2,16","2,12","2,03","1,87"
02/12/2020 16:00,"2,14","2,15","2,11","2,03","1,87"
02/12/2020 15:00,"2,13","2,14","2,11","2,02","1,87"
02/12/2020 14:00,"2,14","2,14","2,1","2,02","1,87"
02/12/2020 13:00,"2,12","2,14","2,1","2,01","1,86"
02/12/2020 12:00,"2,12","2,12","2,1","2,01","1,86"
02/12/2020 11:00,"2,12","2,12","2,09","2,01","1,86"
02/12/2020 10:00,"2,1","2,12","2,09","2","1,85"
01/12/2020 17:00,"2,08","2,11","2,09","2","1,85"
01/12/2020 16:00,"2,05","2,08","2,09","2","1,85"
01/12/2020 15:00,"2,1","2,05","2,09","1,99","1,85"
01/12/2020 14:00,"2,11","2,1","2,09","1,99","1,85"
01/12/2020 13:00,"2,12","2,12","2,09","1,99","1,84"
01/12/2020 12:00,"2,12","2,12","2,09","1,98","1,84"
01/12/2020 11:00,"2,13","2,13","2,09","1,98","1,84"
01/12/2020 10:00,"2,15","2,13","2,08","1,98","1,83"
30/11/2020 17:00,"2,11","2,12","2,08","1,97","1,83"
30/11/2020 16:00,"2,11","2,11","2,07","1,97","1,83"
30/11/2020 15:00,"2,12","2,1","2,07","1,96","1,83"
30/11/2020 14:00,"2,1","2,11","2,06","1,96","1,82"
30/11/2020 13:00,"2,1","2,1","2,06","1,95","1,82"
30/11/2020 12:00,"2,13","2,11","2,06","1,95","1,82"
30/11/2020 11:00,"2,15","2,12","2,05","1,94","1,81"
30/11/2020 10:00,"2,1","2,15","2,04","1,94","1,81"
27/11/2020 17:00,"2,06","2,05","2,03","1,93","1,81"
27/11/2020 16:00,"2,06","2,06","2,03","1,93","1,8"
27/11/2020 15:00,"2,06","2,05","2,03","1,92","1,8"
27/11/2020 14:00,"2,06","2,07","2,03","1,92","1,8"
27/11/2020 13:00,"2,07","2,06","2,02","1,92","1,8"
27/11/2020 12:00,"2,07","2,08","2,02","1,91","1,79"
27/11/2020 11:00,"2,08","2,07","2,01","1,91","1,79"
27/11/2020 10:00,"2,13","2,09","2,01","1,9","1,79"
26/11/2020 17:00,"2,06","2,08","2","1,9","1,79"
26/11/2020 16:00,"2,08","2,07","1,99","1,89","1,78"
26/11/2020 15:00,"2,1","2,08","1,98","1,88","1,78"
26/11/2020 14:00,"2,11","2,09","1,97","1,88","1,78"
26/11/2020 13:00,"2,09","2,11","1,96","1,87","1,77"
26/11/2020 12:00,"2,11","2,1","1,95","1,86","1,77"
26/11/2020 11:00,"2,02","2,12","1,93","1,86","1,77"
26/11/2020 10:00,"2,02","2,02","1,91","1,85","1,76"
25/11/2020 17:00,"1,96","1,98","1,9","1,84","1,76"
25/11/2020 16:00,"1,93","1,96","1,89","1,84","1,76"
