Data,Abertura,Fechamento,Média Móvel E [21],Média Móvel E [66],Média Móvel E [200]
30/12/2020 17:00,"16,28","16,16","16,42","16,54","17,08"
30/12/2020 16:00,"16,47","16,28","16,45","16,55","17,09"
30/12/2020 15:00,"16,33","16,47","16,47","16,56","17,1"
30/12/2020 14:00,"16,35","16,34","16,47","16,56","17,11"
30/12/2020 13:00,"16,48","16,35","16,48","16,57","17,12"
30/12/2020 12:00,"16,56","16,48","16,49","16,58","17,12"
30/12/2020 11:00,"16,6","16,55","16,49","16,58","17,13"
30/12/2020 10:00,"16,61","16,6","16,49","16,58","17,14"
29/12/2020 17:00,"16,7","16,58","16,48","16,58","17,14"
29/12/2020 16:00,"16,7","16,7","16,47","16,58","17,15"
29/12/2020 15:00,"16,61","16,7","16,44","16,58","17,15"
29/12/2020 14:00,"16,62","16,6","16,42","16,57","17,16"
29/12/2020 13:00,"16,73","16,62","16,4","16,57","17,16"
29/12/2020 12:00,"16,52","16,73","16,38","16,57","17,17"
29/12/2020 11:00,"16,71","16,52","16,34","16,57","17,17"
29/12/2020 10:00,"16,64","16,71","16,33","16,57","17,18"
28/12/2020 17:00,"16,53","16,59","16,29","16,56","17,18"
28/12/2020 16:00,"16,32","16,53","16,26","16,56","17,19"
28/12/2020 15:00,"16,22","16,31","16,23","16,56","17,19"
28/12/2020 14:00,"16,26","16,21","16,22","16,57","17,2"
28/12/2020 13:00,"16,05","16,25","16,22","16,58","17,21"
28/12/2020 12:00,"16,06","16,04","16,22","16,59","17,22"
28/12/2020 11:00,"16,21","16,06","16,24","16,61","17,23"
28/12/2020 10:00,"16,4","16,2","16,26","16,63","17,25"
23/12/2020 17:00,"16,08","16,13","16,26","16,64","17,26"
23/12/2020 16:00,"16,11","16,09","16,27","16,66","17,27"
23/12/2020 15:00,"16,24","16,11","16,29","16,67","17,28"
23/12/2020 14:00,"16,28","16,23","16,31","16,69","17,29"
23/12/2020 13:00,"16,35","16,27","16,32","16,7","17,3"
23/12/2020 12:00,"16,44","16,34","16,32","16,72","17,31"
23/12/2020 11:00,"16,14","16,44","16,32","16,73","17,32"
23/12/2020 10:00,"15,85","16,14","16,31","16,74","17,33"
22/12/2020 17:00,"15,94","15,94","16,33","16,76","17,34"
22/12/2020 16:00,"16","15,94","16,37","16,78","17,36"
22/12/2020 15:00,"16,04","16","16,41","16,81","17,37"
22/12/2020 14:00,"16,06","16,04","16,45","16,83","17,39"
22/12/2020 13:00,"16,19","16,05","16,49","16,86","17,4"
22/12/2020 12:00,"16,12","16,18","16,53","16,88","17,41"
22/12/2020 11:00,"16,23","16,12","16,57","16,9","17,43"
22/12/2020 10:00,"16,35","16,22","16,62","16,93","17,44"
21/12/2020 17:00,"16,46","16,15","16,65","16,95","17,45"
21/12/2020 16:00,"16,45","16,45","16,7","16,97","17,46"
21/12/2020 15:00,"16,32","16,45","16,73","16,99","17,47"
21/12/2020 14:00,"16,43","16,32","16,76","17,01","17,48"
21/12/2020 13:00,"16,44","16,43","16,8","17,03","17,5"
21/12/2020 12:00,"16,5","16,44","16,84","17,05","17,51"
21/12/2020 11:00,"16,44","16,5","16,88","17,06","17,52"
21/12/2020 10:00,"15","16,44","16,92","17,08","17,53"
18/12/2020 17:00,"16,93","16,82","16,97","17,1","17,54"
18/12/2020 16:00,"16,94","16,93","16,98","17,11","17,55"
18/12/2020 15:00,"16,92","16,93","16,98","17,12","17,55"
18/12/2020 14:00,"16,9","16,91","16,99","17,12","17,56"
18/12/2020 13:00,"16,97","16,91","17","17,13","17,56"
18/12/2020 12:00,"17,01","16,96","17,01","17,13","17,57"
18/12/2020 11:00,"16,88","17","17,01","17,14","17,58"
18/12/2020 10:00,"16,93","16,88","17,01","17,14","17,58"
17/12/2020 17:00,"16,92","16,97","17,03","17,15","17,59"
17/12/2020 16:00,"16,94","16,92","17,03","17,16","17,6"
17/12/2020 15:00,"16,99","16,94","17,04","17,17","17,6"
17/12/2020 14:00,"17,06","17","17,05","17,17","17,61"
17/12/2020 13:00,"17,1","17,05","17,06","17,18","17,62"
17/12/2020 12:00,"17,12","17,1","17,06","17,18","17,62"
17/12/2020 11:00,"17,12","17,11","17,06","17,18","17,63"
17/12/2020 10:00,"17,11","17,13","17,05","17,19","17,63"
16/12/2020 17:00,"17,14","17,1","17,04","17,19","17,64"
16/12/2020 16:00,"17,1","17,14","17,04","17,19","17,64"
16/12/2020 15:00,"17","17,11","17,03","17,19","17,65"
16/12/2020 14:00,"16,91","17","17,02","17,2","17,65"
16/12/2020 13:00,"16,94","16,91","17,02","17,2","17,66"
16/12/2020 12:00,"17,06","16,95","17,03","17,21","17,67"
16/12/2020 11:00,"17,09","17,06","17,04","17,22","17,67"
16/12/2020 10:00,"17,05","17,08","17,04","17,22","17,68"
15/12/2020 17:00,"17,09","17,02","17,03","17,23","17,69"
15/12/2020 16:00,"17,12","17,08","17,03","17,23","17,69"
15/12/2020 15:00,"17,21","17,13","17,03","17,24","17,7"
15/12/2020 14:00,"17,07","17,2","17,02","17,24","17,71"
15/12/2020 13:00,"17,07","17,08","17","17,24","17,71"
15/12/2020 12:00,"17,1","17,07","16,99","17,25","17,72"
15/12/2020 11:00,"16,99","17,1","16,98","17,25","17,72"
15/12/2020 10:00,"17","17","16,97","17,26","17,73"
14/12/2020 17:00,"16,95","16,83","16,97","17,27","17,74"
14/12/2020 16:00,"16,99","16,96","16,98","17,28","17,75"
14/12/2020 15:00,"17,01","16,99","16,99","17,29","17,75"
14/12/2020 14:00,"16,92","17,01","16,99","17,3","17,76"
14/12/2020 13:00,"16,79","16,92","16,98","17,31","17,77"
14/12/2020 12:00,"16,81","16,79","16,99","17,32","17,78"
14/12/2020 11:00,"16,88","16,81","17,01","17,34","17,79"
14/12/2020 10:00,"16,88","16,88","17,03","17,35","17,8"
11/12/2020 17:00,"16,88","16,82","17,05","17,37","17,81"
11/12/2020 16:00,"16,89","16,88","17,07","17,38","17,82"
11/12/2020 15:00,"16,89","16,9","17,09","17,4","17,83"
11/12/2020 14:00,"16,88","16,89","17,11","17,41","17,84"
11/12/2020 13:00,"16,94","16,88","17,13","17,43","17,84"
11/12/2020 12:00,"16,99","16,93","17,15","17,45","17,85"
11/12/2020 11:00,"16,94","16,98","17,17","17,46","17,86"
11/12/2020 10:00,"16,9","16,93","17,19","17,48","17,87"
10/12/2020 17:00,"16,96","17,02","17,22","17,49","17,88"
10/12/2020 16:00,"17,03","16,96","17,24","17,51","17,89"
10/12/2020 15:00,"17,04","17,03","17,27","17,53","17,9"
10/12/2020 14:00,"16,94","17,04","17,29","17,54","17,91"
10/12/2020 13:00,"17,1","16,93","17,32","17,56","17,92"
10/12/2020 12:00,"17,02","17,1","17,36","17,58","17,93"
10/12/2020 11:00,"16,85","17,02","17,38","17,59","17,94"
10/12/2020 10:00,"17,3","16,84","17,42","17,61","17,95"
09/12/2020 17:00,"17,24","17,21","17,48","17,63","17,96"
09/12/2020 16:00,"17,22","17,25","17,5","17,65","17,96"
09/12/2020 15:00,"17,27","17,22","17,53","17,66","17,97"
09/12/2020 14:00,"17,42","17,27","17,56","17,67","17,98"
09/12/2020 13:00,"17,35","17,41","17,59","17,68","17,99"
09/12/2020 12:00,"17,36","17,35","17,61","17,69","17,99"
09/12/2020 11:00,"17,52","17,37","17,63","17,7","18"
09/12/2020 10:00,"17,75","17,52","17,66","17,71","18"
08/12/2020 17:00,"17,76","17,7","17,67","17,72","18,01"
08/12/2020 16:00,"17,77","17,75","17,67","17,72","18,01"
08/12/2020 15:00,"17,56","17,77","17,66","17,72","18,01"
08/12/2020 14:00,"17,74","17,56","17,65","17,72","18,02"
08/12/2020 13:00,"17,82","17,74","17,66","17,72","18,02"
08/12/2020 12:00,"18,03","17,82","17,65","17,72","18,02"
08/12/2020 11:00,"17,97","18,03","17,63","17,72","18,03"
08/12/2020 10:00,"17,41","17,97","17,59","17,71","18,03"
07/12/2020 17:00,"17,62","17,43","17,55","17,7","18,03"
07/12/2020 16:00,"17,68","17,62","17,57","17,71","18,03"
07/12/2020 15:00,"17,72","17,67","17,56","17,71","18,04"
07/12/2020 14:00,"17,72","17,72","17,55","17,71","18,04"
07/12/2020 13:00,"17,66","17,72","17,53","17,71","18,04"
07/12/2020 12:00,"17,63","17,66","17,51","17,71","18,05"
07/12/2020 11:00,"17,7","17,63","17,5","17,71","18,05"
07/12/2020 10:00,"17,7","17,69","17,49","17,72","18,06"
04/12/2020 17:00,"17,69","17,51","17,47","17,72","18,06"
04/12/2020 16:00,"17,8","17,68","17,46","17,72","18,07"
04/12/2020 15:00,"17,72","17,8","17,44","17,72","18,07"
04/12/2020 14:00,"17,5","17,72","17,4","17,72","18,07"
04/12/2020 13:00,"17,47","17,51","17,37","17,72","18,08"
04/12/2020 12:00,"17,45","17,47","17,36","17,73","18,08"
04/12/2020 11:00,"17,35","17,45","17,35","17,74","18,09"
04/12/2020 10:00,"17,39","17,35","17,34","17,74","18,09"
03/12/2020 17:00,"17,41","17,21","17,34","17,76","18,1"
03/12/2020 16:00,"17,26","17,41","17,35","17,77","18,11"
03/12/2020 15:00,"17,19","17,26","17,34","17,79","18,12"
03/12/2020 14:00,"17,26","17,2","17,35","17,8","18,13"
03/12/2020 13:00,"17,2","17,27","17,37","17,82","18,13"
03/12/2020 12:00,"17,13","17,2","17,38","17,84","18,14"
03/12/2020 11:00,"17,24","17,12","17,39","17,86","18,15"
03/12/2020 10:00,"17,21","17,24","17,42","17,88","18,16"
02/12/2020 17:00,"17,02","17,12","17,44","17,9","18,17"
02/12/2020 16:00,"17,02","17,02","17,47","17,92","18,18"
02/12/2020 15:00,"17,14","17,02","17,52","17,95","18,19"
02/12/2020 14:00,"17,26","17,13","17,57","17,98","18,21"
02/12/2020 13:00,"17,19","17,25","17,61","18,01","18,22"
02/12/2020 12:00,"17,25","17,2","17,65","18,03","18,23"
02/12/2020 11:00,"17,29","17,24","17,69","18,05","18,24"
02/12/2020 10:00,"17,21","17,28","17,74","18,08","18,25"
01/12/2020 17:00,"17,19","17,15","17,78","18,1","18,26"
01/12/2020 16:00,"17,27","17,18","17,84","18,13","18,27"
01/12/2020 15:00,"17,31","17,27","17,91","18,16","18,28"
01/12/2020 14:00,"17,46","17,3","17,98","18,19","18,29"
01/12/2020 13:00,"17,39","17,46","18,04","18,22","18,3"
01/12/2020 12:00,"17,37","17,39","18,1","18,24","18,31"
01/12/2020 11:00,"17,83","17,37","18,17","18,27","18,32"
01/12/2020 10:00,"18","17,84","18,25","18,29","18,33"
30/11/2020 17:00,"17,85","17,75","18,29","18,31","18,33"
30/11/2020 16:00,"17,78","17,86","18,35","18,32","18,34"
30/11/2020 15:00,"17,83","17,77","18,4","18,34","18,34"
